lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G4M-P,G4M-Q,G4M-R,G4M-S,Blank1
[TG(40:1)]_FA16:0,0.147317739286388,3.787083262391509,0.1850414735155112,0.6670760035551598,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,1.0199049925841668e-05,2.0875234224522806e-05,1.1661980411016293e-05,1.7467892093334405e-05,6.540845754073116e-06,1.771626563718328e-05,1.6777529690349646e-05,1.8855792422704093e-05,9.522938092064178e-06
[TG(40:1)]_FA16:1,0.055267098401248,3.525064283370069,0.0260188125357143,0.8718543828131847,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.219107001951281e-06,1.650661132718159e-05,1.2093705883200366e-05,1.355567080537989e-05,5.6526372690525045e-06,1.9439639214610904e-05,1.2360836289995482e-05,1.4943906114404065e-05,8.572007447582807e-06
[TG(40:1)]_FA18:0,0.1143592325473809,3.4777312873598865,0.1113578575772646,0.7386034985686434,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.0210803980674115e-06,1.6485973504928297e-05,1.3384423806683216e-05,1.688639083059845e-05,5.46217495186122e-06,1.6334956898875902e-05,1.1690098506810705e-05,1.5878699223822657e-05,7.794223979583473e-06
[TG(40:1)]_FA18:1,-0.0044791377058404,3.651866196614641,0.00017100105735323723,0.9895665705904166,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.083057738196773e-06,1.959569375164055e-05,1.3835858257258954e-05,1.4823167781454386e-05,5.78022750257096e-06,1.884102618831365e-05,1.6966054164341964e-05,1.5475352919210396e-05,1.0638253303723315e-05
[TG(40:2)]_FA14:0,0.1665021973100945,3.428152219379548,0.2358851233849037,0.6271940214202277,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.017814057970244e-06,2.286423515030984e-05,1.1170658413014559e-05,1.2073473179942446e-05,4.895916440075951e-06,1.6373421754852356e-05,1.2526419674507594e-05,1.2411381103974915e-05,8.89996481768504e-06
[TG(40:2)]_FA16:0,-0.0345964775688284,3.3265315683092544,0.0101839744479752,0.9196173958985212,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.9975839113448085e-06,1.5024282287034087e-05,1.1131474647390406e-05,1.1747137316526005e-05,5.111917196050557e-06,1.8737994699447783e-05,1.0757471032351062e-05,1.2361549878126986e-05,8.010374140664506e-06
[TG(40:2)]_FA16:1,0.2341708102885357,3.887382501757927,0.4674755796298111,0.4941508180406916,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,8.659451286541798e-06,2.116266741408785e-05,1.8956027008040464e-05,2.1729776480180844e-05,8.643520563296943e-06,1.8193301475176095e-05,1.4472990059921594e-05,1.964813573048526e-05,8.508557827797843e-06
[TG(40:2)]_FA18:0,-0.0259320866423795,3.288988078373204,0.0057204947059394,0.9397103239706126,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.020237456031876e-06,1.4199071468078813e-05,1.1158457380317072e-05,1.1279651143992549e-05,5.1594045667989926e-06,1.6326714322121655e-05,1.0965529018622708e-05,1.2355810167502065e-05,7.792925751046452e-06
[TG(40:2)]_FA18:1,-0.0829381575943603,3.527333675224259,0.0585826583577357,0.8087502946554194,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.454131961079593e-06,1.6386673039493514e-05,1.2118576957452224e-05,1.4072666800841419e-05,5.599611406346318e-06,1.7720386925560402e-05,1.2251128680253188e-05,1.8264078283120312e-05,1.002907336708381e-05
[TG(40:2)]_FA18:2,-0.138762262625869,3.5577265845453567,0.16399200319076,0.6855074566707902,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.059772027176741e-06,1.6849676671533948e-05,1.2664568740142178e-05,1.2795410879751025e-05,5.806381440204457e-06,2.5320333931124948e-05,1.268973171635252e-05,1.5051917503005653e-05,8.861830406760164e-06
[TG(41:0)]_FA14:0,-0.143292025245738,3.5569212483024715,0.1748217818615938,0.6758616145143261,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.2209584461632934e-06,1.7479576653839557e-05,1.1975450670267794e-05,1.2949176575464766e-05,4.903813871529294e-06,1.9368547301257393e-05,1.812922647201387e-05,1.3484710424420253e-05,1.1485165738987936e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0.0308723236710257,4.323151288803738,0.0081455085778365,0.9280865883437868,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.831445348577395e-06,1.5351196321996063e-05,1.1133117073444565e-05,1.296655262236261e-05,6.701769525740218e-06,2.057882404579141e-05,1.2389001276988643e-05,1.4136430597961406e-05,1.0233701904656164e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0.0308723236710257,4.323151288803738,0.0081455085778365,0.9280865883437868,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.200048116471437e-05,2.8072126329274673e-05,2.0833093628518186e-05,2.5161658175990124e-05,1.1172556021298965e-05,3.3959181389719716e-05,2.2268130565807444e-05,2.291169345135991e-05,1.4409683375334618e-05
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0.0559738718068068,4.245619471723424,0.0267678961448787,0.8700389802271955,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.018973063075417e-06,1.8480358029366983e-05,1.114508324369158e-05,1.2077757547212675e-05,5.328123163954679e-06,1.6441079206636886e-05,1.1681467248712298e-05,1.260235761784408e-05,7.795359960504835e-06
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0.0559738718068068,4.245619471723424,0.0267678961448787,0.8700389802271955,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,9.764733869388807e-06,3.32788216600803e-05,1.9996625775098735e-05,2.211109633566962e-05,9.097060857228978e-06,3.297145231788633e-05,2.0456934161561123e-05,2.4181217190852862e-05,1.4422340855958774e-05
[TG(41:1)]_FA14:0,0.097407620454943,3.3615058000387656,0.0807303217458761,0.7763101304260062,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.43811640405077e-06,1.5739126338590522e-05,1.2483666340442795e-05,1.1880194730131896e-05,4.897147163899564e-06,1.747517219953842e-05,1.0803806890650961e-05,1.2413207522561797e-05,8.559999143130104e-06
