lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P_x,G4M-Q_x,G4M-R_x,G4M-S_x,G4M-P_y,G4M-Q_y,G4M-R_y,G4M-S_y,Blank1
[TG(49:5)]_FA18:1,0,3.4518467446069714,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.288943531142873e-06,1.8814238043132145e-05,1.1739387353187219e-05,1.3500103286994452e-05,5.288943531142873e-06,1.8814238043132145e-05,1.1739387353187219e-05,1.3500103286994452e-05,8.861830221051333e-06
[TG(49:5)]_FA18:2,0,3.5380800502310734,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.543098349347314e-06,1.8549790463335166e-05,1.3413392676138262e-05,1.4944166867840984e-05,5.543098349347314e-06,1.8549790463335166e-05,1.3413392676138262e-05,1.4944166867840984e-05,8.864913575729696e-06
[TG(49:5)]_FA18:3,0,3.599436329874941,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.938381950008688e-06,1.9867906680909003e-05,1.3226685432242797e-05,1.5181061315520038e-05,5.938381950008688e-06,1.9867906680909003e-05,1.3226685432242797e-05,1.5181061315520038e-05,9.899740289473163e-06
[TG(49:5)]_FA20:4,0,3.711072786198931,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.391409370617927e-06,2.1427116925678612e-05,1.4836637704926693e-05,1.6271088012155764e-05,6.391409370617927e-06,2.1427116925678612e-05,1.4836637704926693e-05,1.6271088012155764e-05,1.0204492567311514e-05
[TG(49:5)]_FA22:5,0,3.8468521266111297,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.0510016522810375e-06,2.3607263279864675e-05,1.5603227725626977e-05,1.8546107807153217e-05,7.0510016522810375e-06,2.3607263279864675e-05,1.5603227725626977e-05,1.8546107807153217e-05,1.1235262533537102e-05
[TG(49:6)]_FA14:0,0,3.319334493539364,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.89930102840401e-06,1.637754310873514e-05,1.095417221864061e-05,1.2408772076742534e-05,4.89930102840401e-06,1.637754310873514e-05,1.095417221864061e-05,1.2408772076742534e-05,8.112282697557129e-06
[TG(49:6)]_FA16:0,0,3.644296733683918,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.971099969744533e-06,2.395173171803796e-05,1.0958033561827145e-05,1.7488432252005317e-05,5.971099969744533e-06,2.395173171803796e-05,1.0958033561827145e-05,1.7488432252005317e-05,8.990838896285083e-06
[TG(49:6)]_FA16:1,0,3.4505357375385124,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.3108923457322396e-06,1.7724164833286284e-05,1.2202066890161842e-05,1.354158607355772e-05,5.3108923457322396e-06,1.7724164833286284e-05,1.2202066890161842e-05,1.354158607355772e-05,9.041793097352717e-06
[TG(49:6)]_FA18:0,0,3.365051749505759,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.14719936721151e-06,1.6323623437720884e-05,1.1308279860529618e-05,1.302240129864673e-05,5.14719936721151e-06,1.6323623437720884e-05,1.1308279860529618e-05,1.302240129864673e-05,8.37370752651664e-06
[TG(49:6)]_FA18:1,0,3.4406783492644784,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.287199953559089e-06,1.7711114272358086e-05,1.1752788482874419e-05,1.373047521635466e-05,5.287199953559089e-06,1.7711114272358086e-05,1.1752788482874419e-05,1.373047521635466e-05,9.01096088148238e-06
