lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
[TG(37:0)]_FA18:0,0.7108544543224564,7.432123663514788,5.001624920508675,0.025323533341413,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.664019785072705e-05,0.0004586309284153642,0.0003843599044693803,0.00025936794901739086,0.0003765160994412425,7.172260776407406e-06,0.0001816597277886783,0.00010888122039292329,1.0593952214393184e-05
[TG(38:0)]_FA14:0,0.4143178779801545,3.988218427565175,1.6993176919347597,0.1923772322995162,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,9.173634171564605e-06,3.3738535026755695e-05,1.4314744941898527e-05,1.7506928645200636e-05,1.3122403081426304e-05,9.686737458477377e-06,1.6004138954232375e-05,1.2810117134138109e-05,2.1262713114949643e-05
[TG(38:0)]_FA16:0,-0.0672485797189355,3.786321001720498,0.044905170589061,0.8321784960630632,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,7.691038281607173e-06,2.3023953445103986e-05,1.381708769935584e-05,1.4982170248899515e-05,1.8242571887292265e-05,1.3255617302005552e-05,1.472864154959839e-05,1.1066534021659975e-05,1.0681742969266337e-05
[TG(38:0)]_FA18:0,0.1817456601509697,3.774158869839728,0.3277576007462812,0.5669824868668227,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.87569876040711e-06,3.797824643953785e-05,1.2600513900266169e-05,1.2982024314339693e-05,1.3133692192898619e-05,7.587404598155066e-06,2.0328747353098585e-05,1.3054507634072855e-05,1.1317211352848087e-05
[TG(38:1)]_FA14:0,0.078339598801784,3.5405258335245566,0.0608357533167733,0.8051798414592062,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.225195583250189e-06,2.2340215764830444e-05,1.142241986123504e-05,1.1944224067576675e-05,1.2747974349704848e-05,8.49828914070247e-06,1.1967748319678615e-05,1.2219293083135824e-05,1.1667887165221652e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0.1357249341912207,4.533931603661161,0.1834076233473816,0.6684609912055195,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.653298243918304e-05,3.386714712141209e-05,2.3716502886614537e-05,2.9018180873425418e-05,2.468923403500007e-05,1.733055986978721e-05,2.521546987528185e-05,2.526494782984098e-05,1.6807619008621288e-05
"[TG(38:1)]_FA16:0 | DG(40:8),DG(39:1)_C16:0",0.1357249341912207,4.533931603661161,0.1834076233473816,0.6684609912055195,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.298846076051258e-06,1.8685538977531217e-05,1.1701398904832657e-05,1.625442770367451e-05,1.604703798559945e-05,9.120439363709012e-06,1.3954839475516584e-05,1.3924901287642306e-05,9.293968388452163e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.144958766061827,4.367046410433342,0.2090746394281097,0.6474936608180988,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.0269749980840453e-05,3.591327532595154e-05,2.4546400677795313e-05,2.6522699629973077e-05,2.260259470141852e-05,1.3936730340447631e-05,2.2068794960943332e-05,2.2994142716062018e-05,1.713557653348088e-05
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.144958766061827,4.367046410433342,0.2090746394281097,0.6474936608180988,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.7898485374211e-06,2.1804232307017684e-05,1.4070022385762583e-05,1.5908811574639934e-05,1.459918465431594e-05,7.290045060215407e-06,1.2491150025650512e-05,1.3332912558445873e-05,9.155872392022528e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0.1550406606645968,4.276384683918796,0.2390992589401434,0.6248574355841925,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.1657622289335847e-05,3.1545848733156574e-05,2.471158241974393e-05,2.245290411806393e-05,2.1526112647250103e-05,1.2946521777561297e-05,2.2440703092073784e-05,2.0937208601090082e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0.1550406606645968,4.276384683918796,0.2390992589401434,0.6248574355841925,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.0305632749019e-06,1.5026675352513637e-05,1.2046075259113199e-05,1.1842110264925733e-05,1.119052107710405e-05,6.7339277027461606e-06,1.1279427209553445e-05,1.1048594955794507e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.1175865287967726,4.565153192107548,0.1376832642781664,0.7105951104735434,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.869271447967218e-06,1.613931924693719e-05,1.3415864764162731e-05,1.3536390585161908e-05,1.377318410671855e-05,8.42985261994748e-06,1.1987216587388392e-05,1.74183577524479e-05,9.907529536889386e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.1175865287967726,4.565153192107548,0.1376832642781664,0.7105951104735434,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.2894716817978873e-05,4.6489075311529624e-05,2.3853763340889674e-05,2.8089873271179454e-05,2.631583447237335e-05,1.4788227810614428e-05,2.2812835341278633e-05,3.260528331284911e-05,1.8255435421213696e-05
[TG(39:0)]_FA14:0,-0.1438842282489152,3.401788977376366,0.2049872205433338,0.650725066596423,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.016865768277111e-06,1.5956869625458003e-05,1.1172770071689369e-05,1.1424609935950307e-05,1.1859177059733372e-05,7.595605829303624e-06,1.3969384529407495e-05,1.1774311359809647e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,0.0768362111186021,3.531913222452935,0.0585287142030761,0.8088366630259838,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.406634776739836e-06,1.916200191996687e-05,1.222251938950699e-05,1.3784415538831608e-05,1.2782077556184714e-05,8.066884554324048e-06,1.3518261265215274e-05,1.18318560608642e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,-0.0991462747684275,3.3670347164123244,0.0973509037338278,0.7550321153263752,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.033618839296494e-06,1.609385636537358e-05,1.1804403005904385e-05,1.1281555362712841e-05,1.1488276405252745e-05,8.273466617729407e-06,1.1478583797295634e-05,1.275047561240644e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,-0.0183355030058032,3.323649663185211,0.0033285703011571,0.9539925617444364,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.016655032768227e-06,1.502129146862008e-05,1.180627998113974e-05,1.1343918559852541e-05,1.2295931956054094e-05,7.13592155493835e-06,1.0641007006633828e-05,1.1168809963995189e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,0.0390912367773567,3.374872572572196,0.0151378751241342,0.9020785332762966,0.9999966898730842,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.971897329656584e-06,1.422090570897512e-05,1.3012295486855358e-05,1.2310548660319721e-05,1.2584514606366151e-05,7.1292758426901115e-06,1.1395564760356137e-05,1.1840476279211501e-05,8.206402223693833e-06
