lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
"DG(42:8),DG(41:1)_C16:0",0.3498758858428881,4.766841078526032,1.6512656323071755,0.1987867592833353,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.6810526525741013e-05,4.700605926238236e-05,2.7969515272682167e-05,3.142475523840529e-05,3.1400086867789116e-05,3.0113676161355948e-05,2.177103843864461e-05,3.152403278860553e-05,1.5660011383502386e-05
"DG(42:8),DG(41:1)_C16:1",0.0437066567338045,4.514494178198336,0.0257988068858134,0.8723926465700966,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0415014598918465e-05,3.532984349368022e-05,2.288299235760698e-05,2.5640673684035693e-05,2.3333570515563176e-05,2.5980248546300456e-05,2.3278403405686764e-05,3.346613161012115e-05,1.6486152533592373e-05
"DG(42:8),DG(41:1)_C18:0",0.1827686798400477,4.439022485395672,0.4507270757524502,0.5019898797830242,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1134607092748149e-05,3.393273616664986e-05,2.1800908126883023e-05,2.7006468289108725e-05,2.3187816366859177e-05,2.394988154468565e-05,2.106410864706203e-05,2.8412363152332514e-05,1.384642737559946e-05
"DG(42:8),DG(41:1)_C18:1",-0.0988041664125607,4.74831927418287,0.131940978008934,0.7164279945341777,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1357685019336765e-05,3.763534507490791e-05,2.707845361164129e-05,2.672704784207031e-05,2.7641734797844243e-05,3.000169468046766e-05,3.197323933537732e-05,3.769460392168436e-05,2.2581683254681314e-05
"DG(42:8),DG(41:1)_C18:2",0.0470642442157761,4.620626049706955,0.0299299493056891,0.8626492710330164,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1398608151481856e-05,3.6267773069280314e-05,2.4714631279088815e-05,2.8861183401056078e-05,2.6102406850872997e-05,2.8511725596927284e-05,2.5076151983874472e-05,3.432617598895655e-05,1.7290711222332393e-05
"DG(42:9),DG(41:2)_C16:0",-0.0504456432168627,4.410305223695308,0.034345916360678,0.8529729439726877,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.99275662372064e-06,2.9875699471219377e-05,1.9396200933151853e-05,2.305205598144933e-05,2.0955852458560906e-05,2.639102558824802e-05,2.3910622733246896e-05,2.8577100621635997e-05,1.7020686031684263e-05
"DG(42:9),DG(41:2)_C16:1",0.1412118791078645,4.736367106792699,0.2695106546949546,0.6036602182375319,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1682916916247533e-05,4.013832315241662e-05,2.791568391426362e-05,3.757826619122514e-05,3.1970895380798585e-05,2.5589782989949148e-05,3.143476046990698e-05,3.091077227077413e-05,1.562528432726363e-05
"DG(42:9),DG(41:2)_C18:0",0.0212573898475241,4.349745984357483,0.0060980585617715,0.937756408463938,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.246087032014004e-06,3.027820919631232e-05,2.0890994339033744e-05,2.3139456403249846e-05,2.230889808698663e-05,2.385153048240189e-05,2.1031922290237294e-05,2.819775418083887e-05,1.4096006116770454e-05
"DG(42:9),DG(41:2)_C18:2",0.0800760712068955,4.689299095427214,0.0866613032022913,0.7684653173499506,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.2318406616629957e-05,3.809246116681194e-05,2.5574347562190074e-05,3.120481901987776e-05,2.7043337714050845e-05,2.851038967918746e-05,2.593414708590694e-05,3.713218049271509e-05,1.7936727496117112e-05
DG(43:6)_C16:0,0.1022571449938034,4.598424021315207,0.141270330832028,0.7070213833770452,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0233680613067757e-05,4.664441897490375e-05,2.2568179706346566e-05,2.9070683361367772e-05,2.5539899235574736e-05,2.9154483706846335e-05,2.548752940115237e-05,3.167203892505403e-05,1.425471087219582e-05
