lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P_x,N2M-Q_x,N2M-R_x,N2M-S_x,N2M-P_y,N2M-Q_y,N2M-R_y,N2M-S_y,Blank1
[TG(48:2)]_FA18:1,0,3.958010879148388,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0487238722790913e-05,1.332387928468039e-05,1.528834371397054e-05,1.581131351226697e-05,2.0487238722790913e-05,1.332387928468039e-05,1.528834371397054e-05,1.581131351226697e-05,1.1588210338704866e-05
[TG(48:2)]_FA18:2,0,3.847170888719957,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0791145521033264e-05,1.1583418709035758e-05,1.609608275790425e-05,1.3959018498925287e-05,2.0791145521033264e-05,1.1583418709035758e-05,1.609608275790425e-05,1.3959018498925287e-05,8.859883063954636e-06
[TG(48:3)]_FA14:0,0,3.72279942942357,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.12572111945271e-05,1.0392171300286377e-05,1.342897301205215e-05,1.2295428532820167e-05,2.12572111945271e-05,1.0392171300286377e-05,1.342897301205215e-05,1.2295428532820167e-05,8.819152041198363e-06
[TG(48:3)]_FA16:0,0,4.996852552919584,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,4.4021481378353056e-05,1.9526212149474636e-05,2.5244947835726817e-05,5.684164298396215e-05,4.4021481378353056e-05,1.9526212149474636e-05,2.5244947835726817e-05,5.684164298396215e-05,1.0632735987198345e-05
[TG(48:3)]_FA16:1,0,4.037715845975695,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.2823615337899116e-05,1.4219726432987008e-05,2.0098676540741187e-05,1.4699164209831248e-05,2.2823615337899116e-05,1.4219726432987008e-05,2.0098676540741187e-05,1.4699164209831248e-05,8.901587696210729e-06
[TG(48:3)]_FA18:0,0,3.704907328950711,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8364806097820454e-05,1.2192226294072136e-05,1.3108192054941985e-05,1.2392226663652893e-05,1.8364806097820454e-05,1.2192226294072136e-05,1.3108192054941985e-05,1.2392226663652893e-05,7.925666585712356e-06
[TG(48:3)]_FA18:1,0,3.856866535794219,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.189753195016447e-05,1.2703710302135057e-05,1.427143569495337e-05,1.4202301212539676e-05,2.189753195016447e-05,1.2703710302135057e-05,1.427143569495337e-05,1.4202301212539676e-05,8.608356949026643e-06
[TG(48:3)]_FA18:2,0,3.830676390091418,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.037988847342494e-05,1.1529397843684025e-05,1.569014625004129e-05,1.3953869591135999e-05,2.037988847342494e-05,1.1529397843684025e-05,1.569014625004129e-05,1.3953869591135999e-05,8.860694456790272e-06
[TG(48:3)]_FA18:3,0,3.943849194303601,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1916431543456214e-05,1.3073067773653595e-05,1.604399724688935e-05,1.4892503121858388e-05,2.1916431543456214e-05,1.3073067773653595e-05,1.604399724688935e-05,1.4892503121858388e-05,1.0143477095081989e-05
[TG(48:4)]_FA14:0,0,3.708065748535572,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.920810914725706e-05,1.0197738847145672e-05,1.310543624895928e-05,1.441983963272342e-05,1.920810914725706e-05,1.0197738847145672e-05,1.310543624895928e-05,1.441983963272342e-05,7.816942483757746e-06
[TG(48:4)]_FA16:0,0,3.649141279818025,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8391265658202604e-05,1.0257333387949612e-05,1.3461216278457061e-05,1.2238018841945191e-05,1.8391265658202604e-05,1.0257333387949612e-05,1.3461216278457061e-05,1.2238018841945191e-05,7.82067479794726e-06
[TG(48:4)]_FA16:1,0,3.827448243879724,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0580602971757617e-05,1.1097230307556101e-05,1.5124646326056204e-05,1.4338230433691838e-05,2.0580602971757617e-05,1.1097230307556101e-05,1.5124646326056204e-05,1.4338230433691838e-05,9.346869808519435e-06
[TG(48:4)]_FA18:0,0,3.630085424846553,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8001554433890945e-05,1.017780250142163e-05,1.3113152537249038e-05,1.2213819530201207e-05,1.8001554433890945e-05,1.017780250142163e-05,1.3113152537249038e-05,1.2213819530201207e-05,7.79130296537518e-06
[TG(48:4)]_FA18:1,0,3.7714167030846295,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.024305500848457e-05,1.1142462218975803e-05,1.4276120586149424e-05,1.3375912339605246e-05,2.024305500848457e-05,1.1142462218975803e-05,1.4276120586149424e-05,1.3375912339605246e-05,8.739962050382958e-06
[TG(48:4)]_FA18:2,0,3.812060498027028,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.037724267599903e-05,1.153904445598798e-05,1.4819022669796338e-05,1.3946918843053295e-05,2.037724267599903e-05,1.153904445598798e-05,1.4819022669796338e-05,1.3946918843053295e-05,8.85955847586891e-06
[TG(48:4)]_FA18:3,0,3.938870641608052,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.190735956852843e-05,1.2483339162182562e-05,1.671697539136345e-05,1.524210919283443e-05,2.190735956852843e-05,1.2483339162182562e-05,1.671697539136345e-05,1.524210919283443e-05,9.504601047299397e-06
[TG(48:4)]_FA20:4,0,4.0309081397822455,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.439606780100666e-05,1.333288273498061e-05,1.722625620048684e-05,1.6047645330489188e-05,2.439606780100666e-05,1.333288273498061e-05,1.722625620048684e-05,1.6047645330489188e-05,1.0149319092547101e-05
[TG(48:5)]_FA14:0,0,3.643245018086603,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.801932030969066e-05,1.0517148267501417e-05,1.3105987326054014e-05,1.2290537171081817e-05,1.801932030969066e-05,1.0517148267501417e-05,1.3105987326054014e-05,1.2290537171081817e-05,7.813534633848074e-06
[TG(48:5)]_FA16:0,0,3.6439964468755126,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.797018106432681e-05,1.0606754636406916e-05,1.3093861685115566e-05,1.2251920780039e-05,1.797018106432681e-05,1.0606754636406916e-05,1.3093861685115566e-05,1.2251920780039e-05,7.820187931294405e-06
[TG(48:5)]_FA16:1,0,3.771453472345644,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.954603532877896e-05,1.1086297412132279e-05,1.4869179148161517e-05,1.3296620220278418e-05,1.954603532877896e-05,1.1086297412132279e-05,1.4869179148161517e-05,1.3296620220278418e-05,8.826616731480331e-06
