lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,N4F-J,N4F-L,N4F-M,N4F-N,Blank1
"[TG(60:9),TG(59:2)]_FA20:4",0.0012651994335325,3.874285860322779,5.758567132629899e-05,0.9939452932952506,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.609440659101233e-05,1.6127656642887112e-05,1.504127176451548e-05,1.754797467324932e-05,1.233068717270644e-05,1.4767824722631487e-05,1.7896241091708937e-05,1.3208353312766132e-05,1.049025853135922e-05
"[TG(60:9),TG(59:2)]_FA22:5",-0.0012006601584476,3.9695449729809145,5.195519549044958e-05,0.994248901677492,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.7200439784522487e-05,1.7250277528732437e-05,1.6020819786294094e-05,1.8685828110661737e-05,1.3180889247932318e-05,1.5794831817899122e-05,1.9147930884545325e-05,1.4095217467573739e-05,1.1239157157245215e-05
"[TG(60:9),TG(59:2)]_FA22:6",0.0064711235240135,4.103349397907127,0.0015128340419172,0.968973969564261,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.8685733940431272e-05,1.8733580799354152e-05,1.7610559007163275e-05,2.1161427909393797e-05,1.4340238217590676e-05,1.7140933093930422e-05,2.074327008892075e-05,1.5848192924084373e-05,1.2264734240274198e-05
"[TG(61:10),TG(60:3)]_FA14:0",0.0018235942586174,3.506258856935641,0.00011864215171053516,0.9913093755870864,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2482869909718194e-05,1.2554187402904298e-05,1.1602201614227414e-05,1.3540400294927155e-05,9.554831945271334e-06,1.1418582746176714e-05,1.3838583991736615e-05,1.0229149334019905e-05,8.157881922569861e-06
"[TG(61:10),TG(60:3)]_FA16:0",-0.0162315633385812,3.5118522939569803,0.0094009198698334,0.922759477664666,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2452112371783194e-05,1.251908994841623e-05,1.1634853119254347e-05,1.3471071748311555e-05,1.0005140280679505e-05,1.1403366144528358e-05,1.3807167757527479e-05,1.02212146467275e-05,8.15755739638708e-06
"[TG(61:10),TG(60:3)]_FA16:1",0.0077412520395697,3.5814984396550584,0.0021420730388991,0.9630850595034884,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.3446277272198365e-05,1.3101558395586304e-05,1.2257780915858831e-05,1.4230180121506893e-05,1.0096267369433935e-05,1.201339287892292e-05,1.4546827671793221e-05,1.0751013643509805e-05,8.513588494330262e-06
"[TG(61:10),TG(60:3)]_FA18:0",-0.0330980441213184,3.550956855402033,0.0391317238056976,0.8431879318289331,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2429540130619346e-05,1.3703442522547783e-05,1.1642726601669616e-05,1.3571153068282998e-05,9.53333438800212e-06,1.1397234114797816e-05,1.4465806588906266e-05,1.1790266209420422e-05,8.135001325537291e-06
"[TG(61:10),TG(60:3)]_FA18:1",0.0205457520708945,3.578567970055373,0.0150875933837939,0.902240478188042,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.3341850028956658e-05,1.305650431979348e-05,1.2189235652397421e-05,1.4602720430581238e-05,9.98915986274329e-06,1.195570608982811e-05,1.4478758936567385e-05,1.068387331314554e-05,8.504014151724164e-06
"[TG(61:10),TG(60:3)]_FA18:2",0.0323067772414196,3.6928207194343474,0.0374039110680559,0.8466450046763858,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.4058700466006766e-05,1.4989851735072694e-05,1.3517298795856644e-05,1.5185674801428327e-05,1.0917362012507257e-05,1.2839631610574643e-05,1.5531754535679557e-05,1.1468195439975883e-05,9.198226169498603e-06
"[TG(61:10),TG(60:3)]_FA18:3",0.0043008626455299,3.7913025071031488,0.0006643262472572076,0.9794371795265696,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.5036494205149489e-05,1.5897656188689926e-05,1.400313619804465e-05,1.636075496884614e-05,1.1508641358773592e-05,1.3705388074122447e-05,1.7522553015304888e-05,1.234447976595486e-05,9.837102186329723e-06
