lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,N4M-P,N4M-Q,N4M-R,N4M-S,Blank1
"[TG(66:10),TG(65:3)]_FA22:5",-1.3857252131694632e-05,4.471253175254838,5.882251907785019e-09,0.9999388055732668,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.2913170897522468e-05,1.9845129553928722e-05,2.631795113975226e-05,2.5714564076259963e-05,2.9038906563120348e-05,1.7569214354006927e-05,3.1261760247200206e-05,2.260190766495294e-05,1.1566465474981883e-05
"[TG(66:10),TG(65:3)]_FA22:6",-2.514301941276756e-05,4.598481179168503,1.9399261308450377e-08,0.999888869656536,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.5135585373925902e-05,2.171010261115087e-05,2.8698392568801317e-05,2.800309660793207e-05,3.1894521693350564e-05,1.9186097569357984e-05,3.4147563692847205e-05,2.458537887269687e-05,1.2608756971861736e-05
"[TG(66:11),TG(65:4)]_FA14:0",-0.0005098359514491315,3.967129980443276,7.887461123068373e-06,0.9977591741471178,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6140425047131614e-05,1.3967810557973636e-05,1.853761735847107e-05,1.81395619284394e-05,2.0515459464606243e-05,1.2379456651085194e-05,2.2015292780047224e-05,1.5905211822678573e-05,8.15382511314904e-06
"[TG(66:11),TG(65:4)]_FA16:0",0.000555770321329424,3.9691296535937006,9.373176459659405e-06,0.9975572288644994,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6228019172124457e-05,1.4036716395621772e-05,1.851673937221358e-05,1.810458318178789e-05,2.0561751286342316e-05,1.2423655579427288e-05,2.20157367763025e-05,1.5880890636155372e-05,8.161614267710848e-06
"[TG(66:11),TG(65:4)]_FA16:1",0.00014498978768004745,4.026232720976467,6.387037959770803e-07,0.9993623391350904,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.681642959636056e-05,1.466449273668117e-05,1.926088366795715e-05,1.8807794133161877e-05,2.1316056854375785e-05,1.2934315951496535e-05,2.2957695575403815e-05,1.6525726926317465e-05,8.512127987226116e-06
"[TG(66:11),TG(65:4)]_FA18:0",0.0044377380218306,3.969637809674704,0.0005976292177500842,0.9804964927440888,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6136843114615828e-05,1.3966680930236494e-05,1.8865324105537716e-05,1.8120250723674785e-05,2.0461728219442937e-05,1.2407674048168169e-05,2.208409755214137e-05,1.590265168171861e-05,8.12737441859114e-06
"[TG(66:11),TG(65:4)]_FA18:1",-0.0017323973322425,4.030533869231039,9.119366868715062e-05,0.9923806871787544,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.69369124478541e-05,1.4641618313640168e-05,1.9313078064726154e-05,1.8860990707731634e-05,2.1528089014977062e-05,1.296777731829186e-05,2.297500778865804e-05,1.657660959818974e-05,8.507422063536783e-06
"[TG(66:11),TG(65:4)]_FA18:2",-0.0043480336274368,4.145795873504392,0.0005757954398879495,0.980856008350724,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.81658338562536e-05,1.5782798665099495e-05,2.1187978743881642e-05,2.041752804625342e-05,2.3670317061541273e-05,1.3957884152050649e-05,2.4835399004049617e-05,1.7918764915596714e-05,9.204717126474865e-06
"[TG(66:11),TG(65:4)]_FA18:3",-0.0025307816619323,4.242970539018388,0.00019542761376845075,0.9888463020133595,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.9582968887528208e-05,1.6991472819535532e-05,2.2352288424270177e-05,2.1905930070389853e-05,2.4775943109958753e-05,1.502764897235425e-05,2.6773916626874236e-05,1.92798012344343e-05,9.842781874276235e-06
"[TG(66:11),TG(65:4)]_FA20:4",-0.0029922573874137,4.341858376952732,0.00027367559359703364,0.9868010833325676,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.0953213594983457e-05,1.8127287385379814e-05,2.399194120726535e-05,2.3569588804156352e-05,2.6586689611616634e-05,1.604247720751154e-05,2.865916612917522e-05,2.0753803841798605e-05,1.0492043657500562e-05
