lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
"[TG(61:10),TG(60:3)]_FA16:1",-0.0005846406233284634,3.703445914718334,1.5932073418323256e-05,0.9968152521153922,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2280765780817617e-05,1.2587028922641761e-05,1.4765755735169897e-05,1.3439809437188111e-05,1.2924349134257587e-05,1.5395105823913184e-05,1.3048439716214526e-05,1.5665225008182266e-05,8.51358849433026e-06
"[TG(61:10),TG(60:3)]_FA18:0",0.0144535237653169,3.652534917373306,0.0097218574812054,0.921456282809746,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1709459135308605e-05,1.1978446726151149e-05,1.4160768005349617e-05,1.3736609320956746e-05,1.2286133643180163e-05,1.4746613194508817e-05,1.2521725060711689e-05,1.5316876534743612e-05,8.135001325537291e-06
"[TG(61:10),TG(60:3)]_FA18:1",-0.0158993573980703,3.707587295963656,0.0117846899363689,0.913553620860103,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.217826527084998e-05,1.2421159866896182e-05,1.4991535203194764e-05,1.3420073975045192e-05,1.277261401942234e-05,1.5288781042300378e-05,1.3019081032227772e-05,1.6542824651310155e-05,8.504014151724164e-06
"[TG(61:10),TG(60:3)]_FA18:2",-0.0051336017725843,3.819570536004657,0.0012327971369394,0.9719910618507674,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3133076895835119e-05,1.3988359881621979e-05,1.5889867545383263e-05,1.4433499779744371e-05,1.3851129652637168e-05,1.7255054680065624e-05,1.400035757854078e-05,1.6905226940303475e-05,9.198226169498602e-06
"[TG(61:10),TG(60:3)]_FA18:3",-0.0112322886794162,3.915290019406516,0.0059178964488029,0.938680929978126,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.4099509800544258e-05,1.4479550768584606e-05,1.7144323255239735e-05,1.5573795895709342e-05,1.4892261202483571e-05,1.825561943039522e-05,1.509558550082814e-05,1.8133865995833238e-05,9.837102186329723e-06
"[TG(61:10),TG(60:3)]_FA20:4",-0.0006127080390361448,4.005337895149816,1.7651636828652784e-05,0.9966477895500648,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.5160541035826651e-05,1.5393255667380472e-05,1.8263930633003895e-05,1.665334801098264e-05,1.583810023387497e-05,1.902215265278714e-05,1.6146277875972023e-05,1.934815267349834e-05,1.0487824476658196e-05
"[TG(61:10),TG(60:3)]_FA22:5",-0.0298263140086734,4.132385036473154,0.0419644210906344,0.8376876072688852,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.6054921491995766e-05,1.6428391891852515e-05,1.9442657505356514e-05,1.9050046129957847e-05,1.893779371672589e-05,2.0226286692961403e-05,1.716611876636271e-05,2.1316547121234467e-05,1.123672294778683e-05
"[TG(61:10),TG(60:3)]_FA22:6",0.0045034190934144,4.223167515110743,0.000958614882860226,0.975300238331686,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.770143705741876e-05,1.809159652169651e-05,2.1173446153862822e-05,1.9249450594125676e-05,1.844349447769038e-05,2.2087407532495587e-05,1.8669880326460878e-05,2.2436047251891615e-05,1.2266356964042527e-05
"[TG(61:11),TG(60:4)]_FA14:0",-0.0018924972865258,3.634336442736181,0.00016656100903139626,0.989702906005696,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1664368169218186e-05,1.1927117617088105e-05,1.4106715889874931e-05,1.2843133854491907e-05,1.22292026358489e-05,1.4677194660101777e-05,1.2454548456758125e-05,1.5003512320977329e-05,8.157070529734224e-06
"[TG(61:11),TG(60:4)]_FA16:0",-0.0054931332656517,3.634154589486173,0.0014032631798599,0.9701181098852278,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.162369351285618e-05,1.1923790747596362e-05,1.4105308469517717e-05,1.2819553843387734e-05,1.2222849751574196e-05,1.4695647839571926e-05,1.2485648891914122e-05,1.5019060830136641e-05,8.15934246062548e-06
