lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
PG(42:1),-0.0160292742196165,4.023073335604499,0.0132720934005774,0.908282974907451,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.596839973546595e-05,1.6067169621284043e-05,1.5007462242434923e-05,1.7518031048000505e-05,1.9321615885478715e-05,2.0237810965853854e-05,1.6916718921110765e-05,1.6740679329835324e-05,1.04748425317542e-05
"PG(42:10),PG(41:3),PG(P-42:2)",-0.0023538588640159,4.027522027559629,0.0002861599108949786,0.9865034196394477,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.597782547530744e-05,1.608310012991239e-05,1.5042429649062782e-05,1.752369616526034e-05,1.932311119402467e-05,2.02293824330056e-05,1.661846785212591e-05,1.6485173731955544e-05,1.107704449000723e-05
"PG(42:11),PG(41:4),PG(O-42:4)",0.0088054873890106,4.02328562883053,0.0040051845166044,0.9495383440468254,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5969391938527517e-05,1.6627982121569656e-05,1.5015567301759654e-05,1.751317549047079e-05,1.9315933336510133e-05,2.024124476625998e-05,1.661385164821688e-05,1.6482888040519706e-05,1.0478250226906514e-05
PG(42:2),-0.0044365163605594,4.024819861285768,0.0010167709794908,0.9745622882819658,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5970135996202e-05,1.6411921117613132e-05,1.5016030411409791e-05,1.751290567152934e-05,1.9314138943437175e-05,2.0231567594957105e-05,1.701340069304231e-05,1.6483396063453553e-05,1.0471921486594437e-05
PG(42:3),-0.0168385550323775,4.03248109880244,0.0146504838571246,0.9036599996694964,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5974352811902807e-05,1.6082851395980704e-05,1.501255684610546e-05,1.7983369417931054e-05,1.932281210949766e-05,2.0906161444656603e-05,1.6624109732384023e-05,1.6993898558075675e-05,1.047468025318707e-05
PG(42:4),-0.019239377862926,4.034075783458379,0.0191269718304063,0.8900030917082679,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5972616645788447e-05,1.6085340539437553e-05,1.5007693907681939e-05,1.8018978006081047e-05,1.9315634423116747e-05,2.0223451236607815e-05,1.662334021832404e-05,1.7697427580612833e-05,1.047208388896745e-05
PG(42:5),-0.0033014118458859,4.024132432801085,0.0005629086162590724,0.98107140990722,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5965423268213793e-05,1.6078619643203644e-05,1.5010472653920335e-05,1.751964980729055e-05,1.9311746381310203e-05,2.0228757964925298e-05,1.6620519253738013e-05,1.6480348119622936e-05,1.0898217625578682e-05
PG(42:6),-0.0035399554133373,4.017645087493494,0.0006471948619405365,0.9797039862533998,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5974600862668197e-05,1.6072645708402686e-05,1.5013019779080485e-05,1.7511286963692184e-05,1.9313839972999253e-05,2.0229070258506646e-05,1.661692901966169e-05,1.6491015535485186e-05,1.0468676131912191e-05
"PG(42:7),PG(41:0),PG(O-42:0)",-0.0164050508621133,4.029018573381347,0.0139019280874008,0.9061417921634708,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.597236859502306e-05,1.6077873014112277e-05,1.5015335769018972e-05,1.7516142778486333e-05,1.931742904436787e-05,2.0961102667943095e-05,1.6628469284864577e-05,1.648060215531142e-05,1.082665438695207e-05
"PG(42:8),PG(41:1),PG(O-42:1),PG(P-42:0)",-0.0195679690551582,4.025094694659432,0.019780190097674,0.8881527164131128,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.597410480844826e-05,1.6082353453343653e-05,1.5007693951850718e-05,1.7519919471873337e-05,2.0181464391389745e-05,2.02462394391609e-05,1.6620262895793165e-05,1.6484411867105674e-05,1.0473868860351435e-05
"PG(42:9),PG(41:2),PG(O-42:2),PG(P-42:1)",-0.0118068233459177,4.021434730248682,0.007200418395837,0.932376445582834,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5969144029694664e-05,1.607886861452217e-05,1.5007462330772479e-05,1.752423564878458e-05,1.932729832035822e-05,2.0700130800476e-05,1.661539023611141e-05,1.648288808896282e-05,1.0467215562905101e-05
PG(43:2),0.0006887005652427674,4.019795354917872,2.4497956998548176e-05,0.996050853705818,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.596715952894984e-05,1.6067418402693098e-05,1.501024116534843e-05,1.7745440049929666e-05,1.932400867578385e-05,2.0233128348369494e-05,1.662334021832404e-05,1.6484157976746536e-05,1.0472083827064506e-05
PG(43:4),-0.0048883008150275,4.023456629280784,0.0012341463101166,0.9719757458515144,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5967655677791468e-05,1.6074885975495743e-05,1.5019735641961138e-05,1.7520458955397577e-05,1.9323410392640757e-05,2.0237186616855933e-05,1.668463187624268e-05,1.6481872091538246e-05,1.0795822232984677e-05
PG(43:6),-0.0039017499685934,4.017885188410356,0.0007862513578209551,0.977630109516214,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5976833272245876e-05,1.607140113667426e-05,1.5014640949953037e-05,1.7511556782633635e-05,1.9318924124735655e-05,2.0229070079883058e-05,1.663026442635971e-05,1.6493047288118767e-05,1.0469974236643323e-05
PG(44:0),0.0100627486629391,4.024133915325567,0.0052307448599171,0.9423441541340856,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.596170255404377e-05,1.6061195449096243e-05,1.5006767600044103e-05,1.823478695454908e-05,1.9309353819183232e-05,2.0214398295220457e-05,1.6611800002035087e-05,1.6538255952045352e-05,1.0464132362984099e-05
PG(44:1),0.0023802250479501,4.02048706745525,0.00029262711706623534,0.9863517752615232,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.6240753325455724e-05,1.607986421493207e-05,1.5007693907681939e-05,1.7515603089150543e-05,1.932460655961516e-05,2.0225636398559315e-05,1.662103236093921e-05,1.6489237527881394e-05,1.0471759269930252e-05
PG(44:10),-0.0033782507557878,4.017610298888691,0.0005894179489603912,0.9806309162014226,0.9999876738607,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PG,1.5974848960744437e-05,1.6063186839825507e-05,1.501325162100262e-05,1.752531451292729e-05,1.93252048998028e-05,2.0230631131001432e-05,1.6614364608676263e-05,1.6479332412857043e-05,1.0465917396271028e-05
