lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P_x,GDM-Q_x,GDM-R_x,GDM-S_x,GDM-P_y,GDM-Q_y,GDM-R_y,GDM-S_y,Blank1
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0,4.243165119629649,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,DAG,9.764733869388807e-06,3.32788216600803e-05,1.9996625775098735e-05,2.211109633566962e-05,9.764733869388807e-06,3.32788216600803e-05,1.9996625775098735e-05,2.211109633566962e-05,1.4422340855958774e-05
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0,4.243165119629649,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.018973063075417e-06,1.8480358029366983e-05,1.114508324369158e-05,1.2077757547212675e-05,5.018973063075417e-06,1.8480358029366983e-05,1.114508324369158e-05,1.2077757547212675e-05,7.795359960504835e-06
[TG(41:1)]_FA14:0,0,3.376627270283419,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.43811640405077e-06,1.5739126338590522e-05,1.2483666340442795e-05,1.1880194730131896e-05,5.43811640405077e-06,1.5739126338590522e-05,1.2483666340442795e-05,1.1880194730131896e-05,8.559999143130104e-06
[TG(41:1)]_FA16:0,0,3.277077729032938,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.389121624142764e-06,1.4216419082015443e-05,1.1126547369227924e-05,1.125561035427376e-05,5.389121624142764e-06,1.4216419082015443e-05,1.1126547369227924e-05,1.125561035427376e-05,8.025952542642538e-06
[TG(41:1)]_FA16:1,0,3.475509642281319,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.795410360335175e-06,1.7693132247262974e-05,1.3610845082289452e-05,1.2361486545137667e-05,5.795410360335175e-06,1.7693132247262974e-05,1.3610845082289452e-05,1.2361486545137667e-05,8.511479027714966e-06
[TG(41:1)]_FA18:0,0,3.3091022965555497,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.019921372865395e-06,1.4987493497680696e-05,1.2017215371940167e-05,1.1600750281077757e-05,5.019921372865395e-06,1.4987493497680696e-05,1.2017215371940167e-05,1.1600750281077757e-05,8.213866759218441e-06
[TG(41:1)]_FA18:1,0,3.498216444221009,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.825145951382226e-06,1.5955374045105855e-05,1.3113422388927962e-05,1.2546195851806356e-05,6.825145951382226e-06,1.5955374045105855e-05,1.3113422388927962e-05,1.2546195851806356e-05,8.95838383284053e-06
[TG(41:2)]_FA14:0,0,3.311600802812948,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.017181891637281e-06,1.623174059041656e-05,1.1177931854280293e-05,1.1848537110932091e-05,5.017181891637281e-06,1.623174059041656e-05,1.1177931854280293e-05,1.1848537110932091e-05,7.818402928958948e-06
[TG(41:2)]_FA16:0,0,3.26496811293228,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,4.993790752572275e-06,1.4214923729856823e-05,1.112725115102977e-05,1.1657401003657198e-05,4.993790752572275e-06,1.4214923729856823e-05,1.112725115102977e-05,1.1657401003657198e-05,8.102383921622666e-06
[TG(41:2)]_FA16:1,0,3.406425898048386,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.441698867508107e-06,1.6165639886599652e-05,1.2087370728164921e-05,1.3131743857398883e-05,5.441698867508107e-06,1.6165639886599652e-05,1.2087370728164921e-05,1.3131743857398883e-05,8.510667511073442e-06
[TG(41:2)]_FA18:0,0,3.2931012922561984,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.332224262651613e-06,1.5259971568304847e-05,1.1150949166106377e-05,1.1278222945902214e-05,5.332224262651613e-06,1.5259971568304847e-05,1.1150949166106377e-05,1.1278222945902214e-05,7.794223979583473e-06
[TG(41:2)]_FA18:1,0,3.461089886346989,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.968630949365728e-06,1.6424060323410316e-05,1.3294324609616332e-05,1.2714243392222994e-05,5.968630949365728e-06,1.6424060323410316e-05,1.3294324609616332e-05,1.2714243392222994e-05,8.502878263657219e-06
[TG(41:2)]_FA18:2,0,3.4903194027077658,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.917634121832792e-06,1.7362629469807388e-05,1.2668322914376658e-05,1.3667543825447661e-05,5.917634121832792e-06,1.7362629469807388e-05,1.2668322914376658e-05,1.3667543825447661e-05,8.856962049746344e-06
[TG(42:0)]_FA14:0,0,4.479540836515074,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,7.547636164178363e-06,3.5069819293835465e-05,1.9115812194453195e-05,1.4248093092323856e-05,7.547636164178363e-06,3.5069819293835465e-05,1.9115812194453195e-05,1.4248093092323856e-05,5.620162738132205e-05
"[TG(42:0)]_FA16:0 | DG(44:7),DG(43:0)_C16:0",0,4.7200642623273055,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,DAG,1.40814469466809e-05,4.3604277319929984e-05,2.5514732653717788e-05,3.115543023804521e-05,1.40814469466809e-05,4.3604277319929984e-05,2.5514732653717788e-05,3.115543023804521e-05,2.4271613594356855e-05
"[TG(42:0)]_FA16:0 | DG(44:7),DG(43:0)_C16:0",0,4.7200642623273055,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,8.769979589039558e-06,2.857401293968082e-05,1.9731724739433957e-05,1.2615938117812947e-05,8.769979589039558e-06,2.857401293968082e-05,1.9731724739433957e-05,1.2615938117812947e-05,1.2067083464428016e-05
