lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P,N2M-Q,N2M-R,N2M-S,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
"LPC(16:0),PC(O-16:0),LPC(O-17:0)",-3.7202896285496663,8.976202110765762,554.7985115850356,1.1379601208893144e-122,1.4123835808114682e-120,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,0.0001725078410120698,8.205523602034555e-05,5.1496331333380176e-05,4.472796737540749e-05,0.0009141007891537291,0.0014163851454928834,0.0014360208072637588,0.0007066404068882165,4.009974173542063e-05
"LPC(18:0),PC(O-18:0),LPC(O-19:0)",-3.702418263381403,8.56748140082918,549.9523174399362,1.2893268280534563e-121,1.5409843237512976e-119,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,0.0001171102726452498,6.532482309659136e-05,4.677942137018319e-05,3.40943273121211e-05,0.0007211932802827151,0.0009759566351951977,0.001067816936653822,0.0005980798393125867,2.4504965066893083e-05
FA(22:3),-3.660770184550652,11.482068690527878,541.283325251482,9.913988617308902e-120,1.142587188144851e-117,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0003367527480856887,0.0007016524971819077,0.000185958853190788,0.00046863783856755897,0.006345436017700523,0.002411547321207587,0.011755167941131385,0.0025963845412450203,0.0011813512645744513
DG(28:2)_C18:1,-3.5702027950446125,10.632116082986338,518.9149718185936,7.287936974709789e-115,8.109714695651204e-113,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.000178684253521039,0.00025202570104231883,0.00031514723016103487,0.00018206322075619031,0.00318192954676825,0.0030615915455654836,0.002621440320815757,0.0028770028034899122,0.0015222316877198884
FA(14:1),3.5628849930284767,13.544156742738206,517.5455835815901,1.447221778778285e-114,1.5567282267058418e-112,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.008491036785253675,0.012412223673980403,0.02977562106195418,0.02984832572293055,0.001521874520793265,0.00332112537355209,0.0010596661854250663,0.0015684223305660184,0.012910053216024644
FA(32:1),-3.565048989229933,8.054620186873377,515.0240776510296,5.1183456737777175e-114,5.3280327384776435e-112,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,5.9396359964754346e-05,3.3610672127152144e-05,2.9631431258056008e-05,2.7620691709960235e-05,0.0004744263568872708,0.00044255344716140306,0.0004441294606588002,0.0004033438746337262,0.00037920520159340606
FA(29:0),-3.549282396870108,9.206534498220789,513.0375989899767,1.3845986669709973e-113,1.3962812182235653e-111,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0002164472961815344,5.4686555934370036e-05,4.832352293721135e-05,7.635188271943395e-05,0.0009445391217478122,0.001160695749735698,0.0012036297626673046,0.0009675733150648145,0.0006077544137364268
FA(38:5),-3.4681174630021747,9.633863772931392,493.9495378763547,1.9699020326003802e-109,1.92632541187922e-107,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0002134728728065546,0.00015850665678218752,0.0001270735381968521,9.832841461914541e-05,0.0016492944850535877,0.0013238396995356963,0.0017937984711238724,0.0018429084403925138,0.00021541112022038306
FA(15:6),-3.435885204196829,9.931273978757062,486.1457259918407,9.827995112571005e-108,9.327923596549008e-106,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0001530139712514175,0.00019488848014722937,7.111466276499826e-05,9.469667869885657e-05,0.0015052828888587576,0.0016826595598182336,0.0014212539293022761,0.0013283788580499686,0.0017208913542772829
FA(29:2),-3.400708830704669,9.437965161446089,477.6612104526455,6.89702205250285e-106,6.359054332407628e-104,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00022791788560644325,0.00010364517791470744,0.00010163706042610912,7.416285407645049e-05,0.0011486267651694651,0.0014258229485587198,0.0011243934021591374,0.0014767594116697161,0.0005891369460363847
FA(34:1),-3.373104565572779,8.24914770606121,469.5206391032941,4.0745651511736193e-104,3.6523949285659074e-102,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,3.705128450920046e-05,6.0175468685846005e-05,3.515718268219432e-05,3.320486543586472e-05,0.00045665546552387274,0.0004583756523099112,0.00046422051962798246,0.0004677297003376352,0.0005243191709110464
CAR(22:4)_QUAL,3.3483155136047267,8.381769567348904,464.57829702716987,4.848253957375629e-103,4.228463654175988e-101,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,CAR,0.0018822877180555823,0.0004254179115273882,0.00041246312141710295,0.0004453980388687364,6.520492068522184e-05,8.770592259142797e-05,6.75153143337061e-05,6.331300402247853e-05,3.798432627817881e-05
FA(31:0),-3.3451585834910205,9.208176416061209,464.3199207680016,5.518376635775996e-103,4.686263527276088e-101,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0002619747057155544,8.426087727387016e-05,4.872312127003043e-05,5.2641476118940904e-05,0.0010200394924256223,0.001059284125206088,0.0010953353211664775,0.001014754947456635,0.0006342198227478699
FA(28:3),-3.300858651011481,9.611312555739344,454.1004970409993,9.241508142899764e-101,7.64675558388142e-99,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00023109265102922704,7.581217476833628e-05,0.00012386160038339392,0.0001065088922109584,0.0012731800633936185,0.001165936723850702,0.0013145371622362274,0.001294434744996068,0.0011339292111848507
FA(27:1),-3.259989284831444,9.154328615583584,444.2428760897874,1.2913465468326572e-98,1.041793826657246e-96,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.000147185690328004,0.00012308156727719102,5.580923298034584e-05,4.992186003859926e-05,0.0008668195959042345,0.0011012643766005502,0.0008473605417270234,0.0008704401445392637,0.0008397378648902503
FA(10:3),3.2499880204796385,15.769201811814057,443.04025081865257,2.3592588059449357e-98,1.856909308971782e-96,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.03829629020593849,0.05603334343744312,0.14629651428272947,0.12587836466049754,0.0070323134599945035,0.027565870907921675,0.003811817990329025,0.005137728099393675,0.06287464934246878
"LPC(18:1),PC(O-18:1),PC(P-18:0)",-3.256199248218777,7.445395890035846,441.7317227354382,4.545255215535408e-98,3.492271090603039e-96,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,5.328685452355426e-05,4.214512317442201e-05,3.1146320850645704e-05,2.7636910236727234e-05,0.0003021561048481391,0.00048528697824166115,0.000439324100733871,0.00028119556091444606,1.373088769763139e-05
FA(38:4),-3.172336915673528,8.681616908888836,423.4940957273066,4.235672921181037e-94,3.1787247713142344e-92,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00011304646543127309,4.6961776095550964e-05,7.674376117114211e-05,4.6846200316277676e-05,0.0006464214602316384,0.0006768787634605062,0.0005271171759915155,0.0006434553907348874,0.0006961395326027992
FA(36:5),-3.0698052167925467,10.0096523181917,401.1821611386276,3.045046801366125e-89,2.233265006365565e-87,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0004230418170062226,0.0001756265827625145,0.00022814867933343755,0.00018833476245189328,0.0031038385490431814,0.0010524114565447916,0.0024263006649356705,0.0016463054790303352,0.00039936883112948884
FA(30:3),-3.0678833942324437,8.51654098606186,399.65812280900906,6.536678084962933e-89,4.687524484483418e-87,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,9.385725630988679e-05,5.937437316158716e-05,6.96441417118065e-05,5.148041324822481e-05,0.0006298669186575083,0.0006795409296540262,0.0005187628012270862,0.0005034529531108911,0.0005498584793225464
FA(32:0),-2.969459261273459,8.210308770710217,377.5559172533096,4.237219133933884e-84,2.9725013359140525e-82,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00010400864759108863,6.707000042529314e-05,3.990275285940785e-05,5.904791950316271e-05,0.0004756301442707365,0.0005742041171687054,0.0005856836675636151,0.0004825314848289239,0.000269551693174042
FA(22:2),-2.939853645435405,10.52192732380833,372.20016690560806,6.2108831618752776e-83,4.264365949653516e-81,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0002458226739900229,0.0004989665678625199,0.00015247006046029994,0.0004343236640539826,0.0031197826914989898,0.001638525077350382,0.004782659926025166,0.0015475176127017062,0.0008428439539508924
FA(28:2),-2.9349440907075985,8.90266377718333,370.393362522072,1.536551120233797e-82,1.0330105135405132e-80,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00015563573004538257,9.789773501307059e-05,5.7702225850369464e-05,9.244869970438915e-05,0.0008215096271867702,0.0008569756192670718,0.0006994302236922576,0.0007321698691188412,0.0006490210749892898
