lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P_x,G2M-Q_x,G2M-R_x,G2M-S_x,G2M-P_y,G2M-Q_y,G2M-R_y,G2M-S_y,Blank1
[TG(40:0)]_FA18:0,0,3.346880720400507,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.170347866464374e-05,6.920996913321363e-06,1.2345027260561309e-05,1.171676652544588e-05,1.170347866464374e-05,6.920996913321363e-06,1.2345027260561309e-05,1.171676652544588e-05,8.28948686916882e-06
[TG(40:1)]_FA14:0,0,3.403446043643451,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2058386134570716e-05,6.748774430387085e-06,1.2129758926458843e-05,1.1635225365442555e-05,1.2058386134570716e-05,6.748774430387085e-06,1.2129758926458843e-05,1.1635225365442555e-05,1.1627318544838394e-05
[TG(40:1)]_FA16:0,0,3.8397196931437616,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.5357684790194797e-05,1.3086929844122153e-05,1.3939846740330248e-05,1.7217766573492876e-05,1.5357684790194797e-05,1.3086929844122153e-05,1.3939846740330248e-05,1.7217766573492876e-05,9.522938092064178e-06
[TG(40:1)]_FA16:1,0,3.4096936288441477,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2399887521073848e-05,7.717631981355778e-06,1.1995719885777796e-05,1.2261228741259285e-05,1.2399887521073848e-05,7.717631981355778e-06,1.1995719885777796e-05,1.2261228741259285e-05,8.572007447582807e-06
[TG(40:1)]_FA18:0,0,3.328243364714215,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2331446267823252e-05,6.731948061748181e-06,1.117514969189479e-05,1.2290816322086062e-05,1.2331446267823252e-05,6.731948061748181e-06,1.117514969189479e-05,1.2290816322086062e-05,7.794223979583473e-06
[TG(40:1)]_FA18:1,0,3.678351906805149,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2156932522461033e-05,8.13404843909124e-06,1.6344943115988546e-05,1.7271117855375217e-05,1.2156932522461033e-05,8.13404843909124e-06,1.6344943115988546e-05,1.7271117855375217e-05,1.0638253303723315e-05
[TG(40:2)]_FA14:0,0,3.3105389106546736,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1185346829984783e-05,7.077100140504849e-06,1.1528708651851468e-05,1.105418643316375e-05,1.1185346829984783e-05,7.077100140504849e-06,1.1528708651851468e-05,1.105418643316375e-05,8.89996481768504e-06
[TG(40:2)]_FA16:0,0,3.2832459163568197,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1147245461945471e-05,6.723181388408384e-06,1.1534526758769887e-05,1.1324670079415173e-05,1.1147245461945471e-05,6.723181388408384e-06,1.1534526758769887e-05,1.1324670079415173e-05,8.010374140664506e-06
[TG(40:2)]_FA16:1,0,3.705482217933629,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.5069102005303775e-05,7.412071347114979e-06,1.988724631310765e-05,1.468370010692197e-05,1.5069102005303775e-05,7.412071347114979e-06,1.988724631310765e-05,1.468370010692197e-05,8.508557827797843e-06
[TG(40:2)]_FA18:0,0,3.265126181878097,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1785326180756795e-05,6.732089543658668e-06,1.0714627980127452e-05,1.1046964184140671e-05,1.1785326180756795e-05,6.732089543658668e-06,1.0714627980127452e-05,1.1046964184140671e-05,7.792925751046452e-06
[TG(40:2)]_FA18:1,0,3.434921839404068,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.269670214226945e-05,7.4577428729014585e-06,1.1816478862911565e-05,1.253054744269813e-05,1.269670214226945e-05,7.4577428729014585e-06,1.1816478862911565e-05,1.253054744269813e-05,1.002907336708381e-05
[TG(40:2)]_FA18:2,0,3.5268612982674235,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.5357214526437557e-05,7.776312102665177e-06,1.3183722806310897e-05,1.25263538457803e-05,1.5357214526437557e-05,7.776312102665177e-06,1.3183722806310897e-05,1.25263538457803e-05,8.861830406760164e-06
[TG(41:0)]_FA14:0,0,3.4116961460736457,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2080964671532928e-05,6.974586706435427e-06,1.1315006882175284e-05,1.2510977427433201e-05,1.2080964671532928e-05,6.974586706435427e-06,1.1315006882175284e-05,1.2510977427433201e-05,1.1485165738987936e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0,4.346118428582191,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,2.397495058011012e-05,1.708410345198398e-05,2.1647433219773505e-05,2.2291257826183065e-05,2.397495058011012e-05,1.708410345198398e-05,2.1647433219773505e-05,2.2291257826183065e-05,1.4409683375334618e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0,4.346118428582191,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.251066386196854e-05,8.59217732940361e-06,1.3560106683369931e-05,1.2179221487796274e-05,1.251066386196854e-05,8.59217732940361e-06,1.3560106683369931e-05,1.2179221487796274e-05,1.0233701904656164e-05
