lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4F-J,N4F-L,N4F-M,N4F-N,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
DG(37:6)_C16:1,0.8033826313458315,5.43883614027061,29.01744886889749,7.172929074469142e-08,7.233450663534974e-06,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00010679537322204125,2.2385209815498532e-05,3.543946258809143e-05,2.5835840249874384e-05,4.0534299881369176e-05,5.0666325644076414e-05,2.9668947833308037e-05,2.7837382709621784e-05,3.3409311684453805e-05
PS(P-36:0),0.7916054302058456,5.34526832058149,28.18777710547701,1.1009764666679881e-07,1.0766215327083627e-05,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PS,3.974527820417402e-05,5.641520716095722e-05,5.370773765327056e-05,5.501324069571514e-05,5.059796575451579e-05,2.9728011238227597e-05,3.4501233559987947e-05,3.3689369659972434e-05,1.4202133854505439e-05
PC(38:4),0.7832102383424447,6.88073942224741,27.850719336221488,1.3104533898338778e-07,1.2437744379393892e-05,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,0.0001575474292690275,0.000206406834977418,0.00010482198298517517,0.0001328182120602086,9.741888035265716e-05,0.00012358394138968642,0.00011418432799141174,0.00011139778778534616,1.564232326729728e-05
FA(29:3),0.7777340953708843,13.86828241553276,27.590780833008463,1.498914897863728e-07,1.3819995358303573e-05,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.012693600570114648,0.012593352613794902,0.020986394179386633,0.032065500707146484,0.012836575123162716,0.00582602455449106,0.015045780020676183,0.022028427665985548,0.0008099042758516269
PS(O-29:0),-0.7750873600942224,7.995181942751466,27.34933393500341,1.6982293013096785e-07,1.5222738764795363e-05,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PS,0.00020515436341179996,8.14451536842224e-05,0.00015575406937077144,0.00030526209347001915,0.0006296446929783548,0.00043754034459267903,0.00026486225379362147,0.00036400925840927444,3.315746054811948e-05
PC(38:3),0.7390174438900136,6.135300827762862,24.75401467428384,6.513299304841185e-07,5.680653204519595e-05,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,8.773897994341726e-05,0.00011222720253260398,6.98273080925476e-05,8.617880911929652e-05,4.301873840198401e-05,9.731974086924643e-05,6.406760167664509e-05,6.857854663094452e-05,9.643346065143126e-06
DG(34:3)_C18:1,0.7275406773345192,7.828715089066258,24.121394530318867,9.044979101765308e-07,7.681091463525433e-05,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.0001321909026249024,0.0001340725625845693,0.00016926360751060268,0.0006306235791772859,0.0001793877041767843,0.0001998142785512723,0.0001626928563028265,0.0002876784394417461,0.00010184613866873582
DG(34:2)_C18:1,0.7168387649101661,7.231997449702661,23.393969321343207,1.3199168553929215e-06,0.00010921465877828097,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00011429347545995927,9.075430668038538e-05,0.00013203562332611318,0.0003643857533752132,0.00016972928734153615,0.00014962307189627527,0.00012266922945050956,0.00011605479153529325,7.372179539057959e-05
FA(46:0),0.7029541861026374,7.651807961270105,22.526159014660102,2.073013324596186e-06,0.00016724034996179734,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,9.733033905589677e-05,0.00032999810541723697,0.00039951085302619254,0.0001856795025022788,0.00020056270540474178,0.00015826261356869132,0.00025150017926595683,0.00012570557803254229,0.00010460302604275628
"DG(37:7),DG(36:0)_C18:0",0.6855916875800422,6.087986668210736,21.319184439700905,3.888208001982763e-06,0.000306030420058497,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.0001811187030620286,2.9052125058599306e-05,4.798253916978354e-05,3.981691855821463e-05,8.465573794891765e-05,7.423777181201796e-05,4.8170014566563126e-05,4.827857215563253e-05,3.7574095903049e-05
[TG(45:3)]_FA16:0,0.69004717630911,4.3595561572789725,21.067044639114076,4.434902056630491e-06,0.00034074830801777604,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,TAG,3.9718263797861615e-05,1.1267098042264068e-05,1.4033970978288852e-05,1.0619581274354064e-05,1.76976238686953e-05,1.613561935474012e-05,1.2655803644952395e-05,1.6067628437640252e-05,3.11968551297405e-05
[TG(42:2)]_FA18:1,0.6675408185363216,5.427600720306595,20.130984431506377,7.231562264891537e-06,0.000542703521600116,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,TAG,7.170975336742796e-05,4.3114535128336074e-05,7.300035037581695e-05,2.1195012399472883e-05,5.1121052784030396e-05,4.16684133628127e-05,3.961074196056806e-05,3.2807545854182593e-05,1.7456231770431518e-05
SM(40:1),0.655387797118216,4.687388194757607,19.223624050206084,1.162656492501086e-05,0.0008527028412047737,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,SM,2.131973258768117e-05,2.3890517568944652e-05,2.4635303016934245e-05,4.509090108128718e-05,3.109331430276051e-05,2.4400875234816656e-05,1.8435928287659515e-05,2.0390646468614114e-05,1.8530004442692857e-05
DG(30:2)_C16:0,0.6492984018857811,6.150929211101123,19.12144967503877,1.226585994654182e-05,0.0008795984454997879,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00015476491599072066,3.852638948659632e-05,5.233865049474264e-05,2.2126840118590493e-05,7.059699280572752e-05,7.377513974335566e-05,4.4433026401251105e-05,4.3062554831629623e-05,9.664636672684038e-05
PC(38:6),0.6483992904308064,5.298835120145623,18.987336121642983,1.3158891717161852e-05,0.0009034839057719426,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,4.841889786491315e-05,5.842152747887931e-05,4.1417094556589656e-05,4.33820748038588e-05,3.653144355795538e-05,4.9623374042751724e-05,3.3525698545527075e-05,3.686312161339121e-05,9.8453783003988e-06
"PC(38:8),PC(37:1),PC(O-38:1),PC(P-38:0)",0.6506190832713854,4.804640168823172,19.00436110093905,1.3042002983643992e-05,0.0009034839057719426,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,2.6126826847387254e-05,4.146410207924832e-05,3.407561148611935e-05,3.3786487684378895e-05,3.0874987161608956e-05,3.242919585026902e-05,2.4937959740071163e-05,2.1072333024037848e-05,1.0145099849801789e-05
FA(40:6),0.6397257597193965,8.40197490777497,18.706822261128764,1.5243612066277643e-05,0.0010248153362057,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00024760720318935846,0.0004003013043338972,0.0004830353677463751,0.0003930829895200145,0.0003518359084290797,0.0002406854162251905,0.0003720890922173545,0.00023434411165094236,0.0002850082080081535
"PC(O-38:8),PC(36:1),PC(O-37:1),PC(P-37:0)",0.6334498855465898,8.03273902737358,18.340206257596837,1.847663352504161e-05,0.0012168182935777,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,0.00028098804513318915,0.0004716996353650605,0.0002665445873627824,0.0002911076695832512,0.00021642817819079676,0.00032237306752569997,0.00030119401788664574,0.0002276542403975915,2.5724947416328647e-05
FA(16:5),-0.629431797949452,10.717451225409096,18.13986735889921,2.05258692697029e-05,0.0013247396026666,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0009191809652388902,0.0010222909948105587,0.0012980942328655765,0.0015137847236946032,0.0027325081865014903,0.001812224347045518,0.0011645816687750634,0.0034708421591452517,0.001493725866374513
"PC(19:1),LPC(20:1),PC(O-20:1),PC(P-20:0)",0.6338497786448744,4.677275707290075,18.01654136907992,2.1899379432448905e-05,0.0013856724985982,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,2.561963542476496e-05,3.0597859711555863e-05,3.388049966652058e-05,3.416633967946606e-05,2.548261664111074e-05,3.181360167096604e-05,2.2584262463342275e-05,2.1569374291541818e-05,8.05029373963367e-06
