lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,GDF-J,GDF-L,GDF-M,GDF-N,Blank1
"[TG(52:8),TG(51:1)]_FA18:1",-0.1240792637695659,3.6508029377880327,0.23103186906628,0.6307597664876645,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.927222426712257e-06,1.63549688011794e-05,1.2667853637003258e-05,1.3179825300635998e-05,1.217315170739077e-05,1.3670404754744076e-05,1.4831068609592858e-05,2.068321486000686e-05,8.571845107112735e-06
"[TG(52:8),TG(51:1)]_FA18:2",0.0204778864663601,3.5742458749225183,0.0062893190119569,0.9367898489420944,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.6806675285313375e-06,1.6148890367887768e-05,1.266973074649687e-05,1.3243378708251133e-05,1.2644281992480137e-05,1.2950847483674397e-05,1.5278967855364977e-05,1.3893211029214127e-05,8.86669854711368e-06
"[TG(52:8),TG(51:1)]_FA18:3",-0.0156348410844446,3.701694955165858,0.0036707502153454,0.9516883527922874,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.094858665435296e-06,1.8360718903388036e-05,1.3616006999138638e-05,1.3812502708205725e-05,1.3608855746012493e-05,1.445554962613636e-05,1.7740584076755995e-05,1.5038120770145318e-05,9.499570597427282e-06
"[TG(52:8),TG(51:1)]_FA20:4",-0.0930345094558871,3.818014353299933,0.1300839898492802,0.7183449712645252,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.548351110581798e-06,1.8635590039491736e-05,1.4539758295879038e-05,1.4811266357702365e-05,1.4670351625010074e-05,1.626418645215359e-05,1.8931697601386032e-05,1.793794330786063e-05,1.0148020894961554e-05
"[TG(52:8),TG(51:1)]_FA22:5",-0.0356826361194088,3.9361454685890647,0.0191563417709983,0.8899192100812661,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.235122498689573e-06,2.055011476047697e-05,1.6150281678401598e-05,1.6323693812850674e-05,1.7542921688363505e-05,1.6438134950967987e-05,2.0193191379552808e-05,1.7709320261810042e-05,1.1231530064590231e-05
"[TG(52:9),TG(51:2)]_FA14:0",0.0086565232504542,3.390986732584909,0.0011217356462532,0.9732819883966812,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.021712604594064e-06,1.4285809994149015e-05,1.1181216840646872e-05,1.1343442539222584e-05,1.1173249249311218e-05,1.1421193502747984e-05,1.3529035691124276e-05,1.2293618147345775e-05,7.817916155160509e-06
"[TG(52:9),TG(51:2)]_FA16:0",-0.1435825001420286,3.572467259917323,0.3090754571787926,0.5782480766038575,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.778446533710063e-06,1.558269813801628e-05,1.1565077005304324e-05,1.1774272444640213e-05,1.2577575495754924e-05,1.6503009359308943e-05,1.584313518633433e-05,1.2945399159955071e-05,8.623448577206237e-06
"[TG(52:9),TG(51:2)]_FA16:1",0.0488506382820418,3.7434823229312735,0.0358412650426949,0.8498436714220868,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.788666984825646e-06,1.8849444680527523e-05,1.4681711479135466e-05,1.526328088365889e-05,1.326416600572957e-05,1.420698393181672e-05,1.6311585314502267e-05,1.6637457244459255e-05,1.074097331535452e-05
"[TG(52:9),TG(51:2)]_FA18:0",-0.002752489271571,3.396068951331781,0.00011341241006967984,0.991503068008172,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.031722320200763e-06,1.4199968725012693e-05,1.1154234018214697e-05,1.1272510289741336e-05,1.1228102122288837e-05,1.1469908662349746e-05,1.3574641834669325e-05,1.2372559751486994e-05,8.017189654775023e-06
"[TG(52:9),TG(51:2)]_FA18:1",0.0097705901486542,3.8025087657457473,0.0014348136994897,0.9697842086100956,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.603351852492994e-06,2.0157399468649125e-05,1.3232381473167885e-05,1.627061363089723e-05,1.7297478267425813e-05,1.5996609828972924e-05,1.5619607880838277e-05,1.5208819027564386e-05,1.0111671362566247e-05
