lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
"[TG(50:7),TG(49:0)]_FA16:1",-0.0125111535514281,3.8967610559497614,0.004928162850124,0.9440337778998568,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.746084864578424e-05,1.4673247082325953e-05,1.9269085703511445e-05,1.8803421737708615e-05,1.9563422986329826e-05,1.1089084270302183e-05,1.529165059704798e-05,1.3292758699021711e-05,8.64292160289238e-06
"[TG(50:7),TG(49:0)]_FA18:0",-0.0541853947637477,3.9242268415317967,0.09252108460079,0.7609962557049175,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.6625937391882477e-05,1.7002486474518218e-05,1.919713194149085e-05,1.806887625852694e-05,2.1277244721600386e-05,1.2319990201232285e-05,1.4696938488369913e-05,1.3716765674895693e-05,7.975322774903274e-06
"[TG(50:7),TG(49:0)]_FA18:1",0.0669082847979463,3.912696392889204,0.1409827684887172,0.7073059556213769,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.6933981600762142e-05,1.555235977762931e-05,1.988796307724083e-05,2.0679865518830404e-05,1.958912647069678e-05,1.1139032321464974e-05,1.4279152035806758e-05,1.3297135115967663e-05,8.696472137228162e-06
"[TG(50:7),TG(49:0)]_FA18:2",-0.0146333475968489,3.9584347382103657,0.0067497664827297,0.9345218966703456,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.7484944955226437e-05,1.5203030317869158e-05,2.0121719952788862e-05,2.020328553374704e-05,2.0388204588627037e-05,1.195642057443331e-05,1.5127677670586275e-05,1.4025695919381413e-05,9.317011511663636e-06
"[TG(50:7),TG(49:0)]_FA18:3",-0.0196550905651031,4.064322952269395,0.0122054047755497,0.9120302380405636,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8913151419923366e-05,1.7143404141319096e-05,2.157831888084604e-05,2.1146243942813795e-05,2.3305179091726107e-05,1.2484196697891674e-05,1.6039863485351662e-05,1.5375464328365617e-05,9.502653797348284e-06
"[TG(50:7),TG(49:0)]_FA20:4",-0.0221911189738755,4.153081975976539,0.0155837146729035,0.9006543764728916,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0287303571551978e-05,1.7542718497311922e-05,2.321126064889919e-05,2.2801886340266265e-05,2.4345794838150784e-05,1.3667941149615663e-05,1.7224327062709865e-05,1.605536842210576e-05,1.0149156937785862e-05
"[TG(50:7),TG(49:0)]_FA22:5",0.0173948188229723,4.289369665529807,0.0095977048149182,0.9219578015139006,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.2245958454808556e-05,2.0409083436020744e-05,2.5523849262595455e-05,2.4966901480214266e-05,2.5829040424975907e-05,1.4661969410604849e-05,1.8897126997828373e-05,1.7719473333003276e-05,1.1229907402724845e-05
"[TG(50:7),TG(49:0)]_FA22:6",0.0068225797321811,4.4361904317036815,0.0014795981238808,0.9693165025421894,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.5177591345947046e-05,2.1139653531161122e-05,2.7916220847604207e-05,2.7848973073497005e-05,2.834609829972951e-05,1.6658814763852444e-05,2.0568273070899125e-05,1.9211092116256483e-05,1.3321143601076465e-05
"[TG(50:8),TG(49:1)]_FA14:0",-0.006286910840619,3.84002308675352,0.0012427568511554,0.97187819462792,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.5479399375498345e-05,1.4421910620354766e-05,1.9575541993604892e-05,1.8059767518307225e-05,1.9469302733444435e-05,1.0517148349276625e-05,1.360782738543501e-05,1.3263925326074532e-05,8.494602273394028e-06
"[TG(50:8),TG(49:1)]_FA16:0",-0.1687241546925311,4.472370065507508,0.9052346907556768,0.3413819651074301,0.9999794753957753,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.6582628627926753e-05,2.5044969988844094e-05,3.376013889640072e-05,2.4909332857670065e-05,2.9211324958132626e-05,1.643565709283087e-05,2.7429232572965865e-05,2.1063129779959855e-05,1.154293573272933e-05
