lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
"[TG(66:9),TG(65:2)]_FA18:3",-0.0040703507899095,3.9000231402689702,0.0007331152595120016,0.9783990362018158,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.4106715125195865e-05,1.447384745366614e-05,1.7147983106604717e-05,1.5585073379469155e-05,1.4884236503340307e-05,1.6301463401531732e-05,1.4268045014827736e-05,1.9530382667657003e-05,9.835966298262775e-06
"[TG(66:9),TG(65:2)]_FA20:4",-0.0549378625339601,4.017671612789687,0.133949335525795,0.7143718693726729,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.5166351764352659e-05,1.5395632022156803e-05,1.8276599027092546e-05,1.6654116989215414e-05,1.5861788678231714e-05,2.0000060981420727e-05,1.5247503407253986e-05,2.0798731575186518e-05,1.04853903910057e-05
"[TG(66:9),TG(65:2)]_FA22:5",0.0156360411831983,4.135018398914248,0.0108799838260578,0.9169255952961842,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.655719713657555e-05,1.6927424627199e-05,2.104929563405422e-05,1.824294500688841e-05,1.7428216338128208e-05,1.90104004064436e-05,1.667428445020752e-05,2.2877574996564e-05,1.1569710984421484e-05
"[TG(66:9),TG(65:2)]_FA22:6",0.0141789320075888,4.254314216282064,0.0089695078024694,0.9245471721681184,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.876572226166355e-05,1.849224819649807e-05,2.1760698164176464e-05,1.9786663627269172e-05,1.891822691848917e-05,2.0689321843953277e-05,1.8148287983037583e-05,2.4792968295251583e-05,1.2605024595769278e-05
1-O-behenoyl-Cer(34:1),-0.0037869654894679,3.784632331310896,0.0006326115429572121,0.9799339065961904,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.309937499844111e-05,1.3353638099868121e-05,1.5785141799858174e-05,1.4371730295493319e-05,1.3729923748391976e-05,1.5043742396193742e-05,1.3178635622036709e-05,1.8049677415072234e-05,9.05006918047032e-06
1-O-carboceroyl-Cer(36:1),-0.0041217695831424,3.784612740059687,0.0007494121270417153,0.9781603246496416,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.31014666266375e-05,1.3354588614583535e-05,1.5778385312271734e-05,1.4364297702897407e-05,1.3732609346641709e-05,1.5044276977387222e-05,1.3174171959083128e-05,1.8055469032651628e-05,9.05347696847705e-06
1-O-cerotoyl-Cer(34:1),-0.0337449416809445,3.7982960397105816,0.0502511969689693,0.8226267474804368,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.3102628878739507e-05,1.3355301489288799e-05,1.577979294741211e-05,1.4377369159588457e-05,1.3733830047718808e-05,1.562797072164595e-05,1.3181689801554304e-05,1.8862102734047557e-05,9.058020644550726e-06
1-O-cerotoyl-Cer(36:1),-0.0038837314451337,3.784865967994073,0.0006653577010482528,0.9794212260150182,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.3103093699782706e-05,1.3359103593475646e-05,1.5782045109940925e-05,1.4370448991012631e-05,1.3733097599132491e-05,1.5038664461075169e-05,1.318497901447375e-05,1.8055147211340597e-05,9.053476999428523e-06
1-O-eicosanoyl-Cer(34:1),-0.006940021656417,3.731616393349491,0.0021213641543543,0.9632638071044032,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.2614996138822526e-05,1.2859358164724694e-05,1.5200986586853365e-05,1.383041659915071e-05,1.334051409768497e-05,1.4479825913167038e-05,1.269419266087269e-05,1.7370135944876163e-05,8.720488869939454e-06
1-O-lignoceroyl-Cer(34:1),-0.0038698713765418,3.784632311539993,0.0006606137240901531,0.97949470400741,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.3101699147989105e-05,1.334983585970568e-05,1.5787957070138927e-05,1.4369423654111532e-05,1.3726017449065142e-05,1.5040000939546672e-05,1.3182159689114225e-05,1.8057077648251337e-05,9.049582406671881e-06
1-O-pentacosanoyl-Cer(34:1),0.0028406671872652,3.7871918421336623,0.0003559831156447757,0.9849467943407872,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.3100304551863503e-05,1.3580579051841035e-05,1.578542348797362e-05,1.4370705300794862e-05,1.3722355345833843e-05,1.5035190218561432e-05,1.3172997150561437e-05,1.805160797472184e-05,9.054612794641055e-06
1-O-tricosanoyl-Cer(34:1),-0.0034663181810503,3.784521465797378,0.0005300150746049975,0.9816326792564704,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.310100198292231e-05,1.3355539174624146e-05,1.5782608217692864e-05,1.436660449093747e-05,1.3726994093746992e-05,1.5032250353338737e-05,1.3178165824098676e-05,1.8047425156850455e-05,9.056397920782399e-06
1-O-tricosanoyl-Cer(36:1),-0.0033377674163245,3.784700186620107,0.0004914371635126316,0.9823136388443572,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,Cer,1.3104720639931904e-05,1.335696487870947e-05,1.5794150557365008e-05,1.4367629681180298e-05,1.3723820103306193e-05,1.504000078661985e-05,1.317182247647258e-05,1.8066086681138453e-05,9.048121899567736e-06
CAR,-0.0573951684540094,4.436826215130901,0.1474662198281677,0.7009685848366612,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,1.6805197228412844e-05,2.1447234550804133e-05,2.8537180559409168e-05,2.08072659103264e-05,2.052347346869198e-05,2.3530552172178945e-05,2.0870754486870995e-05,3.130331050096034e-05,1.4775937744443572e-05
CAR(10:0),0.0010132005251259,4.527237122432627,4.605011400471426e-05,0.9945855782310608,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,1.83631579348002e-05,2.2548433247692305e-05,3.3365821907502096e-05,2.2728520235978706e-05,2.2695866382106203e-05,2.4611080386389614e-05,2.1883808988423628e-05,3.272610031418433e-05,1.377567546790554e-05
CAR(10:0)_QUAL,-0.0487416948012697,6.348105751770124,0.1084605347230649,0.7419036481440888,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,6.641356849873228e-05,7.073098447695115e-05,0.00012070449334939517,7.804352380039589e-05,6.63075460970575e-05,0.00011725508082879718,7.03262316040632e-05,0.0001123157887656939,5.113800257642858e-05
CAR(10:1),0.1267455432733936,4.823000783712042,0.7234571876897711,0.3950122250621206,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.7812725695353203e-05,2.452270117216859e-05,4.227791985041666e-05,2.789714539116061e-05,2.7375129566103975e-05,3.086627783519422e-05,2.2191343226640616e-05,3.8034696938364186e-05,1.8875325526623298e-05
CAR(10:1)_QUAL,-0.0550141887009171,4.968496976058062,0.1366101377091695,0.7116745248922921,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.5337374095712312e-05,3.2595385664812744e-05,4.0368083770759674e-05,2.8883659353131008e-05,2.9790445765768693e-05,3.8183294685705935e-05,2.713726657954211e-05,4.50617736432457e-05,2.0465132126032854e-05
CAR(10:2),-0.1637994089444971,4.822665340710029,1.2084494569920707,0.2716394205131486,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.5592346813521598e-05,2.8560825945192798e-05,3.2699181262015414e-05,2.4813296487350304e-05,3.0491383090474548e-05,3.2855753835873474e-05,2.8848323501959225e-05,4.0103243612024385e-05,1.6203631924226912e-05
CAR(10:2)_QUAL,-0.2263079861377692,7.638552081158254,2.345638272181759,0.1256340938334832,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,0.00018264817867977003,0.000189858628846537,0.00021940589902562835,0.0001682627648615531,0.0001888048244909312,0.00026268220084545363,0.00018535513695061426,0.000315081382279809,0.00012519603117261624
CAR(10:3),0.148256356056332,5.062473332943681,0.9931421002950032,0.3189756284494441,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,3.3286390605091165e-05,3.688065056404685e-05,4.494307506570195e-05,3.235427072328437e-05,2.460311896095278e-05,4.049401626171706e-05,2.2226349177690546e-05,5.758116754173184e-05,1.8873053379071742e-05
CAR(10:3)_QUAL,-0.2500060448545604,5.519294074105202,2.834406871104946,0.0922648622639602,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,3.655269255317914e-05,3.712755282362062e-05,5.214183855258877e-05,4.8967635679277636e-05,4.7276524564313915e-05,4.816354819555012e-05,5.270632012801238e-05,7.085056594421692e-05,2.840313160428363e-05
CAR(11:0),0.0402788784478847,4.547444287759768,0.0727825832137316,0.7873276068681858,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.056656949642899e-05,2.336470782728465e-05,2.9811905678329174e-05,2.4437042233217723e-05,2.0734657921569992e-05,3.019893194696033e-05,1.887988628897372e-05,3.1574226112106726e-05,1.514917018479342e-05
CAR(11:0)_QUAL,0.0480386148437653,5.167816937906885,0.1044466238114409,0.7465573901152217,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,3.00477473488516e-05,3.5346719062937696e-05,5.734265095329944e-05,3.305936285067287e-05,3.1336853676540244e-05,5.42559848122807e-05,2.9037213775141954e-05,4.3213626638117035e-05,1.9362474518803752e-05
CAR(12:0),0.0510192753346713,4.41078286591054,0.1164732241072608,0.732891495151608,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.0975874105240736e-05,2.0812750091784045e-05,2.5680872411853325e-05,2.138471855267196e-05,2.093949495236754e-05,2.273732757812376e-05,2.0274950683418662e-05,2.6459646927807814e-05,1.433730877482384e-05
CAR(12:0)_QUAL,0.0598257591532171,5.351637838363679,0.16228953939342,0.6870572820882986,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,3.7554221774079874e-05,3.6182004707366665e-05,6.357439079184631e-05,4.017564155467141e-05,3.5708007000541413e-05,4.917646032524861e-05,3.909751167592284e-05,5.466930598100822e-05,2.2018751812080403e-05
CAR(14:0),0.0564353504907654,4.50361294617729,0.1427578326348815,0.7055546014993952,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.25240729934049e-05,2.0589849065308925e-05,2.8755359119850748e-05,2.347359580944532e-05,2.1254928832559697e-05,2.3838434594015226e-05,2.056533460824082e-05,3.157358253085408e-05,1.507663302715227e-05
CAR(14:0)_QUAL,0.1159755053123085,5.796110644822415,0.611971045284406,0.4340466405317059,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,5.756203621179029e-05,4.6769576453683526e-05,8.255366576293182e-05,5.75038383608918e-05,4.127644232551932e-05,7.179218411392827e-05,4.565910697231381e-05,8.162252179684328e-05,3.115109393567536e-05
CAR(14:1),-0.046713324075327,5.137806906346437,0.098732435544349,0.7533560960573804,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,CAR,2.9874588897805533e-05,3.213176074707664e-05,5.0208073964244334e-05,3.516490014551895e-05,3.653760810007073e-05,4.017597802061924e-05,3.473987437362439e-05,4.7968808007042655e-05,1.879759567149438e-05
