lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G4M-P,G4M-Q,G4M-R,G4M-S,G2F-J,G2F-L,G2F-M,G2F-N,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
FA(29:3),0.0194183061128256,13.39317012769587,0.009084199758945,0.9240677513695164,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.028032972930799285,0.01319322109944829,0.007230141180768961,0.039877246756553734,0.007716017375995288,0.000629198252251752,0.00013171944891243422,0.00015550673888283523,0.03295596201440532,0.006415026066757071,0.010247363899844219,0.030026359885501064,0.00030893199620564144,0.012865471214902344,0.00013062326901726716,0.00013463145812085412,0.000809904275851627
FA(3:0),-0.1801243786375563,6.355528263886876,0.7797497529954569,0.3772176851370213,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,4.237533425503863e-05,7.37455804463645e-05,7.313092592146985e-05,5.934630121836048e-05,4.3025294726560007e-05,0.00010825313156562109,9.823730353909376e-05,0.00011879334506549142,5.6482545459979693e-05,6.62089134992554e-05,6.878240727510591e-05,8.731083146924941e-05,0.0001247364437421477,5.586781573946724e-05,0.00011067202331465176,0.00010744819216654489,8.66847976533108e-05
FA(3:1),-0.0697788876451582,6.862589813401051,0.1171454125459234,0.7321513821647715,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00010152409136533672,0.0001261385032076636,9.628669207964909e-05,0.00011752013817589705,4.647484593289484e-05,0.00016932402142734047,0.000129937099920406,0.00015264026311406136,8.4122497648946e-05,0.00011855227390392665,0.00011681992288810399,0.00010588574026808089,0.000166630339914963,5.4639069781250795e-05,0.00013963611433900474,0.00015308421901248366,0.0001347788484464739
FA(30:3),0.0383525701517221,8.703476644524306,0.0354235853872069,0.8507108232097156,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0004963839730292884,0.0005089114065169986,0.00041673588004067374,0.0006708773397254295,0.0005319938516789278,6.61149677540846e-05,7.970013845668011e-05,7.961838998700341e-05,0.0005515976279656295,0.0007313293279207755,0.0004935081895347438,0.0005809735366905027,8.084645839024157e-05,0.0005504835896503439,5.612547749770535e-05,7.206957673786282e-05,0.0005498584793225464
FA(30:4),0.2110780846669585,9.014119173509496,1.0721018951113592,0.3004711597074041,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0005129196015545053,0.0005029822635803648,0.00048638760915842565,0.0008498699162201864,0.0007537627999165975,7.771631383271866e-05,8.301112549794386e-05,6.547047927112266e-05,0.0005702251142120158,0.0007354443525283857,0.00044883647420869427,0.0007476190601239582,7.403877251760445e-05,0.0006142377359944165,7.93424442921109e-05,0.00010238099070933998,0.0010660621530090193
FA(30:5),0.2815970995024602,9.70551485000771,1.907040556935044,0.1672923692567144,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0007323369043219093,0.0008236834573524125,0.0009698953422587229,0.001148212754613793,0.001397314064048738,0.00018890378195755866,0.0001156571791426422,0.00016316066437399045,0.0008254547947849625,0.0012239726995370407,0.0007599342177611745,0.001055106295075442,0.00017365181626880698,0.0010381171566272197,0.00018885510489330255,0.00020603891539421659,0.0013637545565995538
FA(30:6),0.0021706850681279,9.38859110144895,0.00011349371106916806,0.9915000231069157,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0007162133970347201,0.0008058850629757281,0.0005549560257260089,0.001107991749379289,0.0008677057066020822,0.0002462291349581509,0.00018825812366962954,0.00020706933032985398,0.0008245920367865442,0.0009564153700638291,0.0009708101391209834,0.001094033133014564,0.00017348200408438545,0.0008091971410381896,0.0002246581020638729,0.00020339535318028971,0.0006894518685610694
FA(31:0),-0.00030610364562759187,9.678912305350789,2.256924744870048e-06,0.9988013333088752,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0010766233473508723,0.000893329010472095,0.0007017814976594219,0.0015761829900571367,0.0011504231036780627,0.0001386539498608443,8.803995493159844e-05,0.00014834486269098686,0.001002389248192621,0.0011895387638452006,0.0014551850447489531,0.0018320431366864744,0.00011183982629950142,0.0009307645881318655,9.725803952441412e-05,0.00014639807705003167,0.0006342198227478699
FA(32:0),0.1588304957468888,8.590234403270227,0.6072410247163589,0.4358285082009878,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.0005668893343875353,0.0004417919704138137,0.00033288659513637064,0.0003174192384037932,0.0007099376166916475,4.749648930397724e-05,7.420113125657793e-05,8.135596141836634e-05,0.000553621017785587,0.0005167131819438446,0.0005014813163973733,0.00030246921591029987,7.227670310144062e-05,0.0006935697941024585,3.921170768519205e-05,4.012547568128084e-05,0.000269551693174042
FA(32:1),-0.0474716536880714,8.36979945268935,0.0542660166338464,0.8157997083053568,0.9999880860790836,8,8,SampleType_Glia|SleepCondition_Goingtosleep,SampleType_Glia|SleepCondition_Wakingup,FA,0.00040663054921670255,0.00040674869866080745,0.00030554282157794474,0.0003413225564779383,0.0004755149692935449,6.204659746648778e-05,6.253601977190666e-05,4.722048873981508e-05,0.0004257397166558606,0.0005790302505950971,0.0004128750780956436,0.0005943886919331808,5.9543544504939966e-05,0.0004590818109482671,4.145971555818228e-05,3.418112454825229e-05,0.00037920520159340606
