lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,SDF-J,SDF-L,SDF-M,SDF-N,SDM-P,SDM-Q,SDM-R,SDM-S,S4F-J,S4F-L,S4F-M,S4F-N,S4M-P,S4M-Q,S4M-R,S4M-S,Blank1
"[TG(61:13),TG(60:6)]_FA14:0",0.0251086179416658,3.857068247463176,0.012306183908252,0.9116692859484944,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.6095131951607543e-05,1.6602937453952872e-05,1.3848546346194208e-05,1.4354954084470826e-05,1.2559456147626367e-05,1.0584074150355576e-05,1.3198628159894356e-05,2.627634174638197e-05,1.4948077231509121e-05,1.3963700771172058e-05,1.5452675744240688e-05,1.55178236346016e-05,1.1407860685994132e-05,1.1138415396072622e-05,1.8862706451842487e-05,2.2017809230234884e-05,8.156583663081373e-06
"[TG(61:13),TG(60:6)]_FA16:0",0.0122219033986381,3.860049462714722,0.0029158786020063,0.9569360598124168,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.6086485355549095e-05,1.6749869104055886e-05,1.4922135137469266e-05,1.43975478334889e-05,1.2627226232774238e-05,9.804078812935871e-06,1.3233811697041436e-05,2.5380035908794822e-05,1.5120704443449026e-05,1.4132636605807e-05,1.562104942577925e-05,1.5629300091545626e-05,1.1456837404331726e-05,1.115346241078651e-05,1.8962602173658457e-05,2.2040381535999543e-05,8.15869334635697e-06
"[TG(61:13),TG(60:6)]_FA16:1",0.0021265703569447,3.907025280844597,8.830535309076182e-05,0.992502315086274,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.679582544503923e-05,1.7225993403900016e-05,1.448999004446192e-05,1.494840808207892e-05,1.3074053255579319e-05,1.023854901932494e-05,1.373437771125048e-05,2.6305912596990865e-05,1.559318908265063e-05,1.4570308934811387e-05,1.612771462786717e-05,1.619473310130657e-05,1.1912342326551553e-05,1.1656752908986836e-05,1.9679790562131332e-05,2.283130006636895e-05,8.510667511073442e-06
"[TG(61:13),TG(60:6)]_FA18:0",0.01387337949148,3.852326963193328,0.0037569239625631,0.9511252670955695,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.7142969680901967e-05,1.65590229535793e-05,1.3865412063462077e-05,1.4362958245251193e-05,1.2507111442216225e-05,9.774693479909278e-06,1.3233278651659552e-05,2.5316815167767115e-05,1.5004225881540869e-05,1.3967324733262177e-05,1.548418792940411e-05,1.5522468531271003e-05,1.1368311596815418e-05,1.1133474544353277e-05,1.8947732042140312e-05,2.1973106802430948e-05,8.13191797085893e-06
"[TG(61:13),TG(60:6)]_FA18:1",0.0017718684651286,3.914200052072754,6.130734397172266e-05,0.9937527070040306,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.684001923966906e-05,1.7374575945238272e-05,1.4473124538134827e-05,1.5065326734232127e-05,1.315623710787707e-05,1.0253932113475968e-05,1.3877244193882898e-05,2.6457846084335288e-05,1.5671438777664094e-05,1.4626899924132586e-05,1.627137283308866e-05,1.6303732307589327e-05,1.1974195411954268e-05,1.1677190037218102e-05,1.9786930559682953e-05,2.2988421754852377e-05,8.504987946932818e-06
"[TG(61:13),TG(60:6)]_FA18:2",-0.0110467470149782,4.02848135959719,0.0023846895397777,0.9610521577161952,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.816806988854755e-05,1.8704884494701892e-05,1.56915909898408e-05,1.616904810803449e-05,1.4138396981562219e-05,1.1017952728212884e-05,1.4909028289055229e-05,2.8742457293041586e-05,1.6983763410997995e-05,1.663378112356771e-05,1.747562986754628e-05,1.7940267657286266e-05,1.2863361495375013e-05,1.2561597526029189e-05,2.1325015659080298e-05,2.4761460054584298e-05,9.200984843236823e-06
"[TG(61:13),TG(60:6)]_FA18:3",-0.0093291869156402,4.129683361078826,0.0017017738818627,0.967094550790636,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,1.9366742458451104e-05,2.0000193507608176e-05,1.6734213252843833e-05,1.7269625122517763e-05,1.526115412384746e-05,1.1906417973410729e-05,1.600798093203614e-05,3.065641179637644e-05,1.810673589894419e-05,1.7928120370759237e-05,1.873518777437076e-05,1.8705739115677578e-05,1.3834844991454664e-05,1.3527304051788342e-05,2.292448722125068e-05,2.6592920971534358e-05,1.019053685815034e-05
"[TG(61:13),TG(60:6)]_FA20:4",-0.0016986158447052,4.247813093689295,5.645416792665614e-05,0.994005071874854,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,2.0669814438900074e-05,2.13331434578572e-05,1.8335886958658127e-05,1.8489407536450755e-05,1.6817589061638567e-05,1.2738873134618528e-05,1.7840191158209628e-05,3.5221555465714176e-05,1.9327072372937643e-05,1.797105136893071e-05,2.168589568989487e-05,2.0308521592889214e-05,1.6128465949489142e-05,1.4490315906310946e-05,2.46036462528541e-05,2.8476608615186246e-05,1.0486526217169705e-05
"[TG(61:13),TG(60:6)]_FA22:5",0.0099722059966025,4.312531068020416,0.0019463752155969,0.964810549972893,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,2.2110911277627383e-05,2.2827223012528685e-05,1.9824201986214337e-05,1.977751129673956e-05,1.7282622940596382e-05,1.3531884939213427e-05,1.821894722792262e-05,3.497988942347804e-05,2.0652239746330866e-05,1.9320030102176934e-05,2.1248433373656694e-05,2.1348658270028198e-05,1.5668591950523846e-05,1.5345303087048138e-05,2.607233854450114e-05,3.042004635583513e-05,1.1235911616854141e-05
"[TG(61:13),TG(60:6)]_FA22:6",0.0229590765584022,4.4633606591740245,0.010323850179214,0.919069139675058,0.999959759909276,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Goingtosleep,TAG,2.4056712587781382e-05,2.6387919691616917e-05,2.0751530347515458e-05,2.1378636302591584e-05,1.9934757832517564e-05,1.4748322778748128e-05,1.9995449864967155e-05,4.037964727014507e-05,2.2443918364960696e-05,2.0946944969925662e-05,2.4419417164569715e-05,2.3175013401994982e-05,1.720066183748339e-05,1.6835411003428557e-05,2.857163207234048e-05,3.31181099628377e-05,1.3769184603783696e-05
