lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,NDF-J,NDF-L,NDF-M,NDF-N,Blank1
DG(35:3)_C18:0,-0.1316026093001778,4.7795276265376,0.580347387059625,0.4461761885083251,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.325740978622615e-05,3.265425128460792e-05,3.3244904877012555e-05,3.0819947956123155e-05,2.1549910839438232e-05,4.021720981056394e-05,2.265233642023756e-05,2.3514825711356625e-05,1.4192072830955324e-05
DG(35:3)_C18:1,-0.1637588814703607,5.064415436722222,0.9010205367251044,0.3425082150834019,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,4.271268323217714e-05,3.3139132841008365e-05,4.219215847806584e-05,3.831697745575464e-05,2.7729458382069598e-05,3.442289290802767e-05,3.258374857369871e-05,3.7173651361118896e-05,1.8877597178951308e-05
DG(35:3)_C18:2,0.046247214186401,4.905156159067692,0.0717787268797955,0.7887643455786393,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.7070519240297733e-05,3.224590017603602e-05,4.150691909626793e-05,3.997116280503059e-05,2.6366450698713086e-05,2.6995174507293298e-05,2.733633550274654e-05,2.878542250315866e-05,1.7289413086649786e-05
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C16:0",-0.0573106259018992,4.622289697192219,0.1098550926573516,0.7403091710688673,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.9223524736610186e-05,2.5455580191299433e-05,3.411021486366514e-05,3.091723146159804e-05,2.327208779899428e-05,2.5935281005098827e-05,2.00497030743408e-05,2.4265841317159486e-05,1.4132680361057375e-05
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C16:1",0.0824460246407206,4.790600268686366,0.2277987248741375,0.633160866277273,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.673544731590568e-05,2.7317164203719306e-05,3.716993024098557e-05,4.009285836531584e-05,2.5374021964412275e-05,2.435216160056366e-05,2.2091006800654606e-05,2.8234030516850427e-05,1.6137910590210997e-05
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:1",-0.1784232124929851,6.9769046349865365,1.0809175755947535,0.2984923787506848,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,0.00032711266258839394,6.86848831198857e-05,0.00012405771624399785,0.00011336160303578335,7.75847872402516e-05,0.0002586311988738948,0.00011592174660896799,8.46319528782238e-05,2.097646043900644e-05
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:2",-0.0424828920011753,4.989098081214122,0.0606194455538346,0.8055195468693448,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.859999554299644e-05,3.074465906290453e-05,4.368007402996256e-05,4.19321377580256e-05,2.636471434335535e-05,2.7848963816745484e-05,2.944548976179337e-05,3.591764269653013e-05,1.8953217257950216e-05
DG(35:5)_C16:0,0.0749773860203926,4.645344175808625,0.1880593807270079,0.6645367097736932,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.4135955502067284e-05,2.4738000761272592e-05,3.70823180603812e-05,3.12404169923007e-05,2.1853517879650404e-05,2.209845646575098e-05,2.1955305911863663e-05,2.4451976613678823e-05,1.4752245661720952e-05
DG(35:5)_C16:1,-0.0125218510941073,4.757226648569654,0.0052525902253812,0.9422240945961956,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.1207253271694674e-05,2.788365958662906e-05,3.530211311859716e-05,3.7899787785662805e-05,2.411767369732092e-05,2.4845517259171134e-05,2.4892328717989377e-05,2.599959734743541e-05,1.686327925718414e-05
DG(35:5)_C18:0,-0.0818658014516302,4.631340603259219,0.2241820825310867,0.6358716913614675,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.782950910715292e-05,2.63081472811433e-05,3.370011529033982e-05,3.187622163984793e-05,2.1862447470650264e-05,2.8348044913609074e-05,2.0813426010056542e-05,2.4112077347474493e-05,1.3845129208965384e-05
