lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,NDM-P,NDM-Q,NDM-R,NDM-S,N2F-J,N2F-L,N2F-M,N2F-N,N2M-P,N2M-Q,N2M-R,N2M-S,Blank1
[TG(44:1)]_FA18:0,-0.0083279717779276,3.767217117860435,0.0015570295213418,0.9685242711732304,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.1901452209988488e-05,1.278891731512875e-05,1.177935375392962e-05,1.4312457301762004e-05,1.6526945887048897e-05,1.3391996069414144e-05,1.782404410515156e-05,1.735692072473372e-05,1.4828870458691727e-05,1.5016499378694234e-05,1.353158020083202e-05,1.296041925322586e-05,1.9210377231109635e-05,1.0864211527862386e-05,1.3329486776091155e-05,1.221510652390854e-05,7.793574865314962e-06
[TG(44:1)]_FA18:1,0.0032149631933925,4.070861195516487,0.00023252665504713832,0.987833669694394,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,2.0513578255123443e-05,1.397750154708263e-05,1.4796500492314587e-05,1.521453930527e-05,1.846215591893927e-05,1.6958714261521757e-05,2.0420719575415473e-05,2.0251380563313406e-05,2.1556623672068665e-05,2.1509893052540403e-05,1.4795108933819649e-05,1.4518595591628085e-05,2.2229032026280997e-05,1.279503149713316e-05,1.5065671142393644e-05,1.434698351309952e-05,1.1509993926437808e-05
[TG(44:2)]_FA14:0,0.0194403605274475,3.792645439964255,0.0084840209536398,0.9266116402786118,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.2403743513370486e-05,1.2951709661579488e-05,1.1893750229582015e-05,1.2967427269704036e-05,1.6251789907800394e-05,1.4634558194146637e-05,1.7902335913633087e-05,1.7384976233934516e-05,1.4423620393991551e-05,1.5009319603383014e-05,1.231498165140443e-05,1.3474223921139538e-05,1.8010248262666378e-05,1.0543944490022324e-05,1.311893989801634e-05,1.3229428002339357e-05,1.0808804177888672e-05
[TG(44:2)]_FA16:0,0.0127237036180431,3.913663200579438,0.0036387413309739,0.9518991959164884,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.2501225240559544e-05,1.2982824429563758e-05,1.2206140236762588e-05,1.3447602439882496e-05,1.6060971881121285e-05,1.6481457369165338e-05,2.6910358417725398e-05,2.1832329678662506e-05,1.5547853518010553e-05,1.5617421535169817e-05,1.5340064928889978e-05,1.2580970979966916e-05,2.1404250640273293e-05,1.1142891048161763e-05,1.4189587027278018e-05,1.781112260514987e-05,7.817591536123312e-06
[TG(44:2)]_FA16:1,-0.0578927906775349,4.034972518320117,0.0753871093930875,0.7836488217933386,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.870607367739575e-05,1.3739038109582378e-05,1.313659519046168e-05,1.5523415876271256e-05,2.0071086070843925e-05,1.594856776507222e-05,2.040729818551548e-05,1.9395139384854963e-05,2.599792747292317e-05,1.7304062246668038e-05,1.5846297080557746e-05,1.5682084712708097e-05,1.9556997169310466e-05,1.3628926034764296e-05,1.539692403608539e-05,1.3618680304839859e-05,8.978830468026493e-06
[TG(44:2)]_FA18:0,-0.0305718758024856,3.8299368557233824,0.0209901079825431,0.8848059074749152,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.3584190138685916e-05,1.2399360239551684e-05,1.2173025622085517e-05,1.3420356540972207e-05,1.596816770634658e-05,1.5655435938644573e-05,1.7830382009393814e-05,1.736275058533807e-05,1.5215578024296522e-05,1.522877321514799e-05,1.5528811877532536e-05,1.273031223455331e-05,1.8028770070288282e-05,1.22893353337898e-05,1.3215670117740108e-05,1.3352742671930287e-05,9.621763541890213e-06
[TG(44:2)]_FA18:1,0.0416675835915947,3.943977158122853,0.0390271737276455,0.8433948384163773,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.4763892753637708e-05,1.5573066906288877e-05,1.4599664756996145e-05,1.5328917993418e-05,1.8364793090349994e-05,1.513977272663397e-05,1.931419668573206e-05,1.8871556913102436e-05,1.770839079757846e-05,1.639877656278231e-05,1.3775464015589655e-05,1.5697323414555786e-05,1.958799253691525e-05,1.1139460946212919e-05,1.635017208537121e-05,1.3309235017355431e-05,9.153762801601346e-06
[TG(44:2)]_FA18:2,0.0757378847116843,3.9483661978990527,0.128938742166449,0.7195349348416735,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.6420338010866338e-05,1.4158713925437504e-05,1.4038335049075632e-05,1.4611352835856616e-05,1.7881560320941186e-05,1.6292813900015227e-05,2.012395683925397e-05,2.1395464576509815e-05,1.6698405224738024e-05,1.6979720027654227e-05,1.3911638802586182e-05,1.4305759124323028e-05,2.040823818779682e-05,1.207410920365396e-05,1.4809928373387968e-05,1.395155280605018e-05,8.861181230588711e-06
[TG(44:3)]_FA14:0,-0.0067136553059408,3.729624115667996,0.0010115680629771,0.9746274333855672,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.196693614541559e-05,1.2029965900153705e-05,1.1125395667339534e-05,1.2960953107242943e-05,1.5475491744998908e-05,1.4272238392454641e-05,1.7771476597682784e-05,1.740392307241136e-05,1.440836736833692e-05,1.5007758790429427e-05,1.232472677511219e-05,1.223073065860766e-05,1.838899764644653e-05,1.0950173380226058e-05,1.3115081727589644e-05,1.2306755943364604e-05,7.814995110000747e-06
[TG(44:3)]_FA16:0,0.0226006637264877,4.16180131434946,0.0114981453962741,0.9146069877264884,0.99997247095805,8,8,SampleType_Neuron|SleepCondition_Deprived,SampleType_Neuron|SleepCondition_Wakingup,TAG,1.4559999613638043e-05,1.2223126338019973e-05,1.2203824600174335e-05,1.3106084568746784e-05,1.707302501393237e-05,2.2607853787071785e-05,4.692470561579954e-05,2.0585860962466658e-05,1.7866303662898247e-05,1.502586449458055e-05,1.2786849561064131e-05,1.2660467146928048e-05,3.073312631223195e-05,1.2743797203738104e-05,1.6341353012128425e-05,2.7716717595465393e-05,1.1256358221088635e-05
