lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G2M-P,G2M-Q,G2M-R,G2M-S,Blank1
[TG(40:0)]_FA16:0,0.2624930798228871,3.9511792827715184,0.6433049752402695,0.4225165455688152,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,9.190189454302554e-06,2.9843759633684394e-05,1.998766747957777e-05,1.6786359146693974e-05,1.7308382279368606e-05,1.1415466733913772e-05,1.4546267611284725e-05,1.2746049124286187e-05,1.3273272414221008e-05
[TG(40:0)]_FA18:0,-0.0505697472499009,3.3545365620691165,0.0238330852668795,0.8773103754344476,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.887300923370298e-06,1.730654373931244e-05,1.1755968353943862e-05,1.2361288975403748e-05,1.170347866464374e-05,6.920996913321365e-06,1.2345027260561309e-05,1.171676652544588e-05,8.28948686916882e-06
[TG(40:1)]_FA14:0,-0.0345339082509897,3.418765254871392,0.0111148645866965,0.916036946415696,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.898583021402197e-06,1.6969974431736502e-05,1.135802316606114e-05,1.3358436392575164e-05,1.2058386134570716e-05,6.748774430387087e-06,1.2129758926458843e-05,1.1635225365442555e-05,1.1627318544838394e-05
[TG(40:1)]_FA16:0,-0.169486849433125,3.795064490471653,0.2682720472248654,0.6044932598111046,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.540845754073116e-06,1.771626563718328e-05,1.6777529690349646e-05,1.8855792422704093e-05,1.5357684790194797e-05,1.3086929844122157e-05,1.3939846740330248e-05,1.7217766573492876e-05,9.522938092064178e-06
[TG(40:1)]_FA16:1,0.0649395480874511,3.4688062883266606,0.0393310714121122,0.8427942135561347,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.6526372690525045e-06,1.9439639214610904e-05,1.2360836289995482e-05,1.4943906114404065e-05,1.2399887521073848e-05,7.71763198135578e-06,1.1995719885777796e-05,1.2261228741259285e-05,8.572007447582807e-06
[TG(40:1)]_FA18:0,0.0720639397089536,3.3907524768668797,0.0484121210810282,0.8258497015911378,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.46217495186122e-06,1.6334956898875902e-05,1.1690098506810705e-05,1.5878699223822657e-05,1.2331446267823252e-05,6.731948061748183e-06,1.117514969189479e-05,1.2290816322086062e-05,7.794223979583473e-06
[TG(40:1)]_FA18:1,-0.0645138626924735,3.6800132077097474,0.0388605408862616,0.8437252040679113,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.78022750257096e-06,1.884102618831365e-05,1.6966054164341964e-05,1.5475352919210396e-05,1.2156932522461033e-05,8.134048439091241e-06,1.6344943115988546e-05,1.7271117855375217e-05,1.0638253303723315e-05
[TG(40:2)]_FA14:0,0.0110184744005747,3.3452642681040947,0.0011313438227595,0.973167849375403,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.895916440075951e-06,1.6373421754852356e-05,1.2526419674507594e-05,1.2411381103974915e-05,1.1185346829984783e-05,7.07710014050485e-06,1.1528708651851468e-05,1.105418643316375e-05,8.89996481768504e-06
[TG(40:2)]_FA16:0,0.0292667876054793,3.326179428779335,0.0079816060887527,0.9288118370024072,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.111917196050557e-06,1.8737994699447783e-05,1.0757471032351062e-05,1.2361549878126986e-05,1.1147245461945471e-05,6.723181388408385e-06,1.1534526758769887e-05,1.1324670079415173e-05,8.010374140664506e-06
[TG(40:2)]_FA16:1,0.041522076195662,3.754413990464141,0.0161080036694016,0.8990058457490663,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,8.643520563296943e-06,1.8193301475176095e-05,1.4472990059921594e-05,1.964813573048526e-05,1.5069102005303775e-05,7.4120713471149806e-06,1.988724631310765e-05,1.468370010692197e-05,8.508557827797843e-06
[TG(40:2)]_FA18:0,0.003135311797217,3.296405184692373,9.158531728781227e-05,0.992364343910269,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.1594045667989926e-06,1.6326714322121655e-05,1.0965529018622708e-05,1.2355810167502065e-05,1.1785326180756795e-05,6.73208954365867e-06,1.0714627980127452e-05,1.1046964184140671e-05,7.792925751046452e-06
[TG(40:2)]_FA18:1,0.1093178256121427,3.513528302384572,0.1114513670571888,0.7384977869001156,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.599611406346318e-06,1.7720386925560402e-05,1.2251128680253188e-05,1.8264078283120312e-05,1.269670214226945e-05,7.457742872901459e-06,1.1816478862911565e-05,1.253054744269813e-05,1.002907336708381e-05
[TG(40:2)]_FA18:2,0.0657573990006749,3.5865199199863134,0.0403571432544787,0.8407839037469682,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.806381440204457e-06,2.5320333931124948e-05,1.268973171635252e-05,1.5051917503005653e-05,1.5357214526437557e-05,7.776312102665179e-06,1.3183722806310897e-05,1.25263538457803e-05,8.861830406760164e-06
[TG(41:0)]_FA14:0,0.2012847683458826,3.5307907488381165,0.3776133492126483,0.5388833072018048,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,4.903813871529294e-06,1.9368547301257393e-05,1.812922647201387e-05,1.3484710424420253e-05,1.2080964671532928e-05,6.974586706435429e-06,1.1315006882175284e-05,1.2510977427433201e-05,1.1485165738987936e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,-0.0771228035965165,4.341688038630287,0.0556929189704149,0.8134377354846529,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,1.1172556021298965e-05,3.3959181389719716e-05,2.2268130565807444e-05,2.291169345135991e-05,2.397495058011012e-05,1.7084103451983983e-05,2.1647433219773505e-05,2.2291257826183065e-05,1.4409683375334618e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,-0.0771228035965165,4.341688038630287,0.0556929189704149,0.8134377354846529,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,6.701769525740218e-06,2.057882404579141e-05,1.2389001276988643e-05,1.4136430597961406e-05,1.251066386196854e-05,8.592177329403611e-06,1.3560106683369931e-05,1.2179221487796274e-05,1.0233701904656164e-05
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0.018501881708258,4.209498986797178,0.0032040241683271,0.9548605682342324,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,5.328123163954679e-06,1.6441079206636886e-05,1.1681467248712298e-05,1.260235761784408e-05,1.1717355146403788e-05,6.731241110676976e-06,1.0600951972212655e-05,1.1046032219403324e-05,7.795359960504835e-06
[TG(41:0)]_FA18:0 | DG(42:0)_C18:0,0.018501881708258,4.209498986797178,0.0032040241683271,0.9548605682342324,0.9999908530680616,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,DAG,9.097060857228978e-06,3.297145231788633e-05,2.0456934161561123e-05,2.4181217190852862e-05,2.112369615657735e-05,1.2805265385896666e-05,2.1615881355698658e-05,1.99691984289445e-05,1.4422340855958774e-05
