lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P,G2M-Q,G2M-R,G2M-S,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
[TG(48:4)]_FA18:3,0.019187546796029,3.732802561343724,0.0065326244945271,0.9355814021351384,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3683575421795044e-05,8.188062273394508e-06,1.3025963955427937e-05,1.4361030123600785e-05,1.4558004491839951e-05,1.7255054847667403e-05,1.4554689119405841e-05,1.7519695948835215e-05,9.504601047299395e-06
[TG(48:4)]_FA20:4,-0.0265000522439246,3.833069541667373,0.0124736379643421,0.9110728226720156,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.4579428507370943e-05,8.80413252300837e-06,1.3888155534753264e-05,1.4624990594364055e-05,1.561501787954033e-05,1.9096550803685995e-05,1.586314087874606e-05,1.9093992766968258e-05,1.01493190925471e-05
[TG(48:5)]_FA14:0,-0.0118799309731198,3.4407778105787044,0.0024955448540145,0.9601579067099052,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1185582029152886e-05,6.759520690785893e-06,1.0650629188154087e-05,1.1053953453088512e-05,1.2261699860065346e-05,1.406472954176954e-05,1.1936790938040952e-05,1.4376783608284964e-05,7.813534633848072e-06
[TG(48:5)]_FA16:0,-0.028114956340186,3.4598777691039078,0.0139806269080651,0.9058777336763,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1155477253390398e-05,6.720636251280202e-06,1.0608336430152223e-05,1.159958021378685e-05,1.1709980829914767e-05,1.4091969803239787e-05,1.1957690243681797e-05,1.619567208103832e-05,7.820187931294404e-06
[TG(48:5)]_FA16:1,-0.016180101702894,3.587602966748057,0.0046374101013135,0.9457071987020004,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2174571921752772e-05,7.288348383038401e-06,1.1598749242007366e-05,1.2781228226918607e-05,1.2931190662503801e-05,1.5896266879344363e-05,1.305416220615393e-05,1.651411943932516e-05,8.82661673148033e-06
[TG(48:5)]_FA18:0,-0.016555182723327,3.439559157617293,0.004846175466195,0.9445005135840217,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1198282515072424e-05,6.728130315601683e-06,1.0601847121398369e-05,1.1044401403313083e-05,1.1773020236420638e-05,1.4599282011606444e-05,1.2005957816469033e-05,1.4403694594812005e-05,7.792601193912198e-06
[TG(48:5)]_FA18:1,-0.0260556983522896,3.687455663176872,0.0120413357076248,0.912621112260498,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.413938077783715e-05,7.717490607323227e-06,1.2654279515561597e-05,1.2829687060530226e-05,1.4435101654924583e-05,1.669736299671842e-05,1.3553259644107576e-05,1.8726806694211806e-05,8.797082651292596e-06
[TG(48:5)]_FA18:2,0.0128697992051007,3.65024827160166,0.0029363610262791,0.9567852218564196,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.365276491394929e-05,7.615401322320945e-06,1.204360688870985e-05,1.326418490265284e-05,1.3981118456294751e-05,1.591530565943456e-05,1.4241695727208654e-05,1.6294046736770423e-05,8.861343571058783e-06
[TG(48:5)]_FA18:3,-0.0278392440992372,3.7778736704402354,0.0137577445985952,0.90662754512084,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3669698805456034e-05,8.188486611248031e-06,1.4044572024646378e-05,1.398407711584194e-05,1.4376215512458103e-05,1.7599218846195206e-05,1.650529975844498e-05,1.8261245053211894e-05,1.0029884728967972e-05
[TG(48:5)]_FA20:4,-0.0340088933384741,3.862706767985265,0.0205505566826232,0.8860100942544208,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.4955032965774975e-05,8.804556699044995e-06,1.4773619413709181e-05,1.4532499681879506e-05,1.6046277572257675e-05,1.8396799795565667e-05,1.6616016724849483e-05,2.0371968973322683e-05,1.0144937756943493e-05
[TG(48:5)]_FA22:5,0.0614687723877483,4.033221518649769,0.0672372988199896,0.7954025761529051,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.7218773415006484e-05,1.0781014839486035e-05,1.5382501827551552e-05,1.808885916728803e-05,1.9238820120685553e-05,2.023360921473877e-05,1.7193984744493576e-05,2.091437638958193e-05,1.1403541600617093e-05
[TG(48:6)]_FA14:0,0.0509302347947884,3.4538696164240794,0.0458723479811256,0.8304080106379444,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2111540025070236e-05,6.759944839853031e-06,1.1035963746130758e-05,1.1171605680461608e-05,1.1716333574377179e-05,1.4065315198256852e-05,1.1935049186871705e-05,1.4371102198505216e-05,7.811911910079743e-06
[TG(48:6)]_FA16:0,-0.0680548234853172,3.549328761896309,0.0820118374075073,0.7745893201299046,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1990885543413563e-05,6.816221090188863e-06,1.2192191239367972e-05,1.1516408326566091e-05,1.2483560161732279e-05,1.6641417969422455e-05,1.3627154017603643e-05,1.5776756423772017e-05,7.821810655062734e-06
[TG(48:6)]_FA16:1,-0.0476512106951107,3.5941836048414704,0.0402221128758784,0.8410469283035419,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2162106769580297e-05,7.475983197621746e-06,1.1605462327387391e-05,1.208952611403252e-05,1.2931435054395704e-05,1.5881621668187844e-05,1.3051176604621033e-05,1.742969341371823e-05,8.970392230147647e-06
[TG(48:6)]_FA18:0,0.0787567270049596,3.5851851835587047,0.109871098953203,0.7402909355333547,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3090416488020734e-05,6.9207140573783266e-06,1.0954063378916985e-05,1.5104452524533351e-05,1.1781572228285578e-05,1.413414824377836e-05,1.485897446758601e-05,1.5844632212380767e-05,8.241615775167775e-06
[TG(48:6)]_FA18:1,-0.0029904445362312,3.640154867018429,0.0001585118524545237,0.9899547798570664,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2414939908955091e-05,7.618370770333168e-06,1.1579728527549931e-05,1.4132016042013137e-05,1.2780677367315771e-05,1.571407966594627e-05,1.4013544072312428e-05,1.7890769377009327e-05,9.069866701387776e-06
[TG(48:6)]_FA18:2,0.008942089764912,3.615101832676336,0.0014169287394238,0.969973029657505,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2918725042956418e-05,7.6131390681052835e-06,1.2041816846424584e-05,1.2526586781419129e-05,1.3337038911330526e-05,1.59264360936583e-05,1.347165260110815e-05,1.628358154322755e-05,8.858098061619179e-06
[TG(48:6)]_FA18:3,-0.1061075999001981,3.785601004065756,0.1998532992845554,0.6548392846666916,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3669228541698794e-05,8.572381539721968e-06,1.3033348370686475e-05,1.3571944472213802e-05,1.5501399977145113e-05,1.8659829001373603e-05,1.7525886978035974e-05,1.7516705820210444e-05,9.503302787810905e-06
[TG(48:6)]_FA20:4,-0.0520443208667671,3.84241377123991,0.048114208994769,0.826377794833536,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.458483795365831e-05,8.80681906113859e-06,1.3884351502832445e-05,1.4521083791502191e-05,1.5332316906124974e-05,1.904294901687914e-05,1.5631256866019106e-05,2.1013947347704566e-05,1.0149481340162758e-05
[TG(48:6)]_FA22:5,-0.0454119869150628,4.007988147831595,0.0366909081324564,0.8480957222467704,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.61813336152691e-05,1.017965005135848e-05,1.5809010260399227e-05,1.5989290720585364e-05,1.6880697622427705e-05,2.2521786038451606e-05,1.770626877112943e-05,2.2521265318861956e-05,1.1233477469298702e-05
[TG(48:6)]_FA22:6,-0.0016933088325147,4.1317911048920575,5.105030162333435e-05,0.9942992037076678,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.752946429366386e-05,1.055152616435426e-05,1.6683285478770654e-05,1.7785060214569665e-05,1.843396515127832e-05,2.2982818870054258e-05,1.8661172329899147e-05,2.2441728148383722e-05,1.5460900131503528e-05
"[TG(48:7),TG(47:0)]_FA16:0",0.1290420561043719,4.754368128469289,0.2977597314133779,0.5852902884022136,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,2.610627663413955e-05,2.2539936516498248e-05,2.497133529538578e-05,2.965722085084865e-05,3.082149999171268e-05,3.90961290491597e-05,2.431744506875829e-05,3.408404936655422e-05,1.563226221279569e-05
"[TG(48:7),TG(47:0)]_FA16:1",-0.0946300279737092,3.629193599508399,0.1586853730232622,0.6903697568432376,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.247656070034833e-05,7.336706285138197e-06,1.2042488090941048e-05,1.2233038729829087e-05,1.434567328356458e-05,1.5385147205469415e-05,1.3120841194033586e-05,1.922466097153735e-05,8.743207374113731e-06
"[TG(48:7),TG(47:0)]_FA18:0",-0.1543198798466554,3.627483887214119,0.4218812231445953,0.51599984004348,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.291848988864797e-05,7.424797194572795e-06,1.1636119084957554e-05,1.1046032308276133e-05,1.4966540352416124e-05,1.625536883347145e-05,1.2449572580750714e-05,1.978859715420545e-05,8.612576191771951e-06
"[TG(48:7),TG(47:0)]_FA18:1",0.0388260306738742,3.655565029748297,0.0267192915452305,0.8701559760349185,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2157637940526721e-05,7.577931027683023e-06,1.209574577558226e-05,1.4666925896996272e-05,1.2768216037262363e-05,1.6434626982291337e-05,1.3030774772688255e-05,1.7408463665875056e-05,9.923756929330041e-06
"[TG(48:7),TG(47:0)]_FA18:2",-0.0426742047505286,3.699022418665671,0.0323031818351076,0.8573638656000133,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.402978056736193e-05,7.6154013492904295e-06,1.2947867705497033e-05,1.2922643933165244e-05,1.4957988500363479e-05,1.6286123760139953e-05,1.3484092718224212e-05,1.9561647309800035e-05,8.859883094906108e-06
"[TG(48:7),TG(47:0)]_FA18:3",-0.0473665326103743,3.743520875433164,0.0398134358543142,0.8418457972221216,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3677460333143721e-05,8.18961773835586e-06,1.3020817135707005e-05,1.3559364081387963e-05,1.4997571598113944e-05,1.815544591345241e-05,1.521003468269753e-05,1.7513416844115882e-05,9.506710668672051e-06
