lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,SDF-J,SDF-L,SDF-M,SDF-N,SDM-P,SDM-Q,SDM-R,SDM-S,S2F-J,S2F-L,S2F-M,S2F-N,S2M-P,S2M-Q,S2M-R,S2M-S,Blank1
[TG(45:4)]_FA20:4,0.0396894644415642,4.23597028472057,0.031469742474846,0.8591964598511604,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.1863363174683595e-05,2.27885916915907e-05,1.9961891048565178e-05,2.0156853012036272e-05,1.740476090809834e-05,1.2462768660305486e-05,1.7440377991132883e-05,3.213495938356222e-05,2.5391517821942577e-05,1.9158819781382977e-05,2.006809399839521e-05,1.7703879699516414e-05,1.3340433585578937e-05,1.2622572017389939e-05,2.397995782473235e-05,2.4754496202632216e-05,1.054819064891038e-05
[TG(45:5)]_FA14:0,-0.0651528144404707,3.813567701900498,0.084577539857072,0.7711873216812284,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.6602077997386464e-05,1.5921108793582554e-05,1.3267929425553898e-05,1.3756926483221192e-05,1.2032721280266824e-05,9.722430765321746e-06,1.2661812416096754e-05,2.4271124926670403e-05,1.6542107237891752e-05,1.6118023837258736e-05,1.4783649601472428e-05,1.3164894520599279e-05,1.1154535872802707e-05,1.0010851923207329e-05,1.8317554009879863e-05,2.112112562579557e-05,8.01524240482391e-06
[TG(45:5)]_FA16:0,0.0088853453887793,3.817966976166393,0.0015732432174981,0.9683608991839616,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.6481346025816778e-05,1.667392678470785e-05,1.426354954771848e-05,1.4829774587550356e-05,1.2086077453569582e-05,9.570573248025183e-06,1.3549130790813305e-05,2.4317521014223777e-05,1.478668411256147e-05,1.581003417487718e-05,1.491282367157907e-05,1.3292722543855097e-05,1.120120761965685e-05,1.0034727312960171e-05,1.8327923249823068e-05,2.0021066968679785e-05,7.815482038556544e-06
[TG(45:5)]_FA16:1,0.0717422526089045,4.206773888492694,0.1028054142060739,0.7484886523868747,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.67804536372709e-05,3.5555129788544056e-05,1.4479483769806173e-05,1.527114882151618e-05,1.3853661559145867e-05,1.041821431895093e-05,2.3107327980810477e-05,4.0416865858483694e-05,1.5863509458703733e-05,1.657970755284159e-05,1.6112911000419203e-05,1.438419647390108e-05,1.2569391647688486e-05,1.7705795324105457e-05,3.963029883754765e-05,2.053178024790616e-05,9.065485334832699e-06
[TG(45:5)]_FA18:0,0.0116622985179784,3.810676272233007,0.0027100235790984,0.9584825688957178,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.5456886320341816e-05,1.859427289261653e-05,1.3281200606473358e-05,1.3763501345154851e-05,1.1997571818421571e-05,9.794612380265068e-06,1.269326448305408e-05,2.620343413669967e-05,1.512203369751629e-05,1.4442427979415479e-05,1.4918974717211475e-05,1.3721192426193408e-05,1.0907325061035627e-05,9.635927943883861e-06,1.9427068763663894e-05,1.930384477566061e-05,8.34466028203029e-06
[TG(45:5)]_FA18:1,0.0040251729660448,3.912468959282261,0.00032306451284003224,0.985659598675502,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.6832973837955518e-05,1.93834110577144e-05,1.4466765411933872e-05,1.5262001232563304e-05,1.3155478567247292e-05,1.045884108309239e-05,1.3874045565719613e-05,2.6458356134490323e-05,1.5926691612189342e-05,1.5753188511687536e-05,1.622240126693982e-05,1.4434394949755445e-05,1.1079520130260878e-05,1.0741478036001182e-05,2.2440309370901756e-05,2.055878530748879e-05,8.587585818609367e-06
[TG(45:5)]_FA18:2,0.0085517519033603,3.977838994391075,0.0014588712463741,0.969532069416118,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.8599118259557237e-05,1.9015256770237834e-05,1.5110973963730104e-05,1.6365722660889924e-05,1.3616972236233346e-05,1.1386552425237535e-05,1.4355420522692903e-05,2.7445414238299162e-05,1.778843043555605e-05,1.674242477362449e-05,1.6746170874407894e-05,1.5924713851546775e-05,1.148699187056843e-05,1.087400645717233e-05,2.1789347932568157e-05,2.1399118761444983e-05,8.862317211510074e-06
[TG(45:5)]_FA18:3,0.0336306013658632,4.06950304123812,0.0225739682633338,0.8805702521255704,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.8708641504222692e-05,1.931737421173277e-05,1.614972551616952e-05,1.7150991518940686e-05,1.5523130819319723e-05,1.2517595073453152e-05,1.5458904534388946e-05,3.1520597407784764e-05,1.778417777055464e-05,1.80327328041851e-05,1.8728683221634193e-05,1.5987530551250114e-05,1.238355737471819e-05,1.1773176317349627e-05,2.2280929398230234e-05,2.2994005239405227e-05,9.502004621176832e-06
[TG(45:5)]_FA20:4,-0.0334785542643676,4.191699425108141,0.022385809058016,0.8810653122851321,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.0001786006435266e-05,2.3203301691293863e-05,1.770329074949352e-05,1.7894238369321764e-05,1.6107774020163837e-05,1.2321955201609415e-05,1.6665540275371757e-05,3.178163767355523e-05,1.9610376791913615e-05,2.09923206416477e-05,2.0581406722696885e-05,1.8790141908042806e-05,1.416134399426831e-05,1.2623381485418578e-05,2.398110999505997e-05,2.4744965094246726e-05,1.042421282591788e-05
[TG(45:5)]_FA22:5,-0.0115079678052152,4.313767421389808,0.0026467674760772,0.9589695376778248,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.212756396757366e-05,2.3706501136406715e-05,1.944320660438179e-05,2.0845499708655963e-05,1.727048518118979e-05,1.3663823443305419e-05,1.8220280019313318e-05,3.4963064478268635e-05,2.1746713869392268e-05,2.22224746806046e-05,2.1204209596195508e-05,1.8924827385264086e-05,1.4539192951754986e-05,1.4105473836851972e-05,2.637104110532439e-05,2.9425972398860645e-05,1.1713324266424617e-05
[TG(46:0)]_FA14:0,-0.4248927059083376,6.489258090866612,3.615643102895575,0.0572385877427733,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.00011402760030759905,6.100499814204004e-05,0.00012209326310210736,6.657604493174656e-05,6.668723123629982e-05,5.769520571685505e-05,5.06003381120614e-05,0.00014456015902921735,6.783910242691845e-05,0.00024729762874969543,9.760567401705807e-05,9.582341373488215e-05,7.260070357214326e-05,5.7074824878905045e-05,6.746917087838454e-05,0.00020293063318604104,2.3200112760132355e-05
[TG(46:0)]_FA16:0,-0.3989689932979338,6.909617975395052,3.19058062613556,0.0740637012199336,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.00027692792480523294,0.00011615914743668689,0.00011767476686261327,9.176039262559599e-05,8.234084372889037e-05,4.1381764076205805e-05,7.848116755884412e-05,0.00014736735770777882,0.00012046990580534176,0.0001717550509903078,0.0001404486698394791,0.0002380156870094676,0.00013369523484875337,7.766832312480017e-05,5.874552009182349e-05,0.00024230558658227847,1.5813685534298276e-05
[TG(46:0)]_FA18:0,-0.51571726359312,4.874954213554144,5.300286306060286,0.0213219193776049,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,4.092523325781839e-05,4.824440398407217e-05,2.644406628350109e-05,2.8004395865884196e-05,1.279614561523412e-05,1.2653477980915702e-05,1.391429366948027e-05,3.6723045877109085e-05,3.2406832165854266e-05,6.052056505087563e-05,2.5079120087714012e-05,5.031259346922917e-05,3.093310624306154e-05,1.2522417068846977e-05,2.4990772257908625e-05,6.571003699034387e-05,8.20185848571721e-06
[TG(46:1)]_FA16:0,-0.3451248109627463,9.109471430026622,2.3915735842142567,0.1219907781866197,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.0018592389720729942,0.0005098624650621008,0.0005583133567532014,0.0005005950058353997,0.00020956744499250467,0.0001748020025407075,0.00021745857996150053,0.0004966640671596206,0.0008625063479155167,0.0007440235402737163,0.0007319142883218076,0.0013563577630333718,0.0003907446118351569,0.00029319593403115017,0.0002487325366071735,0.0007983931584410878,2.491503359677638e-05
[TG(46:1)]_FA18:0,-0.120933092853783,4.242486715420511,0.2921387232224219,0.5888532347539124,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.8525394225856992e-05,3.3119366922438626e-05,1.640243209506629e-05,1.679680587773035e-05,1.2735456046493262e-05,1.1976035513631324e-05,1.2696729506811174e-05,2.8597151345871807e-05,2.819126449827398e-05,3.142727413316962e-05,1.8905528599334015e-05,2.4554189339263288e-05,1.2298312066775448e-05,1.1097180323839723e-05,1.9616020302312874e-05,2.2636585493570264e-05,7.794873155754926e-06
[TG(46:1)]_FA18:1,-0.4646199889378768,7.039220550529477,4.322560508072911,0.0376102883947859,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.0003447875874709927,0.00014884828803487634,0.00015524815582938924,0.00019844289579388523,2.657166924188443e-05,4.641633370933815e-05,1.607115156322231e-05,5.607315653508993e-05,0.000312518796087116,0.00026730703577761405,0.0002896039683754813,0.00020254593165798553,3.347042673250424e-05,4.410343041515134e-05,5.432013575605592e-05,0.00017177236547673947,1.7508321952420516e-05
[TG(46:2)]_FA14:0,-0.4496788120985941,7.403980857393514,4.051090926615643,0.0441428095005334,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.0003409712359762001,0.00015124343459336327,0.00013169279816583907,0.00016334791944660603,0.0001011766152892038,0.00013038111616139086,6.60656395977438e-05,0.0002039279264368462,0.00018697368538473725,0.0004953751577305702,0.00015543561591047265,0.0003418554994322047,8.924758282703675e-05,0.0001235207251656088,0.00011827641797747172,0.00020268441081566123,1.2551473875724667e-05
[TG(46:2)]_FA16:0,-0.1299206067872605,6.009560076110151,0.3389655118057817,0.5604269575697617,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.00019268683787284572,5.79560853031736e-05,9.462177916696989e-05,6.109945974325889e-05,3.6064531604910014e-05,2.3105810661147327e-05,3.1749953255619355e-05,6.0575590097025147e-05,0.00011322677153739738,9.379968796060813e-05,9.069148492563382e-05,0.00012245247405474189,2.7269697348173485e-05,3.69606559337394e-05,3.701454732416119e-05,6.869171208517365e-05,8.281373126521284e-06
[TG(46:2)]_FA16:1,-0.4553214858160329,8.934658582526078,4.155202273160285,0.0415068160747867,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.0013398096438047612,0.0008565754177656339,0.0003832785962837944,0.00039349371537881274,0.00020733255707742695,0.00021509432886843876,7.303784645155865e-05,0.00036472508920047864,0.0011025910822618523,0.0008085675371662052,0.00041274487627596324,0.0016575892282753742,0.00013773521444241936,0.0002553035333913432,0.00020696385198084102,0.00036977537131541654,1.1629915063815377e-05
[TG(46:2)]_FA18:0,0.0749302040962983,3.8197189209755416,0.1118711538519905,0.7380238278198852,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.8384234545682195e-05,1.6101058772210186e-05,1.3828916091808986e-05,1.4784893873138744e-05,1.2902099469441597e-05,1.0426102862378222e-05,1.2695130218148957e-05,2.5796068698654585e-05,1.5243537460013136e-05,1.4775682361869916e-05,1.4781804393374014e-05,1.3218384775266707e-05,1.051413195868775e-05,9.639569990428163e-06,1.8313713515372476e-05,1.9736719710275296e-05,7.791789832028033e-06
[TG(46:2)]_FA18:1,-0.2067680655214019,5.598275232657523,0.8574740297847256,0.3544465331091722,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,9.94520263441301e-05,5.940096724101336e-05,4.562488908432792e-05,6.474165496270333e-05,3.72659326789117e-05,2.4498364029117436e-05,1.742038728956602e-05,5.311708009959808e-05,9.899414592596982e-05,9.089814820988264e-05,8.756147816800275e-05,5.6015744666655025e-05,1.832173163982853e-05,2.3904280023759595e-05,3.2388688867452375e-05,4.951415457136794e-05,1.1114529941420957e-05
[TG(46:2)]_FA18:2,-0.237418851681525,6.140376131394944,1.131271556014099,0.2875042761621876,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.00027651801471613994,6.585506178437303e-05,5.58570207263706e-05,0.00011004026006574627,1.9724872963424353e-05,1.6963667465124593e-05,1.537281147745498e-05,3.0228142762292123e-05,9.741884967851221e-05,0.00013823831949248246,0.00014479752767727707,0.00018320552802785783,1.613476825755863e-05,2.4678003526527533e-05,2.7989419220422705e-05,3.507995628422446e-05,9.195954269558819e-06
[TG(46:3)]_FA14:0,-0.0678758804251159,4.1670204540149705,0.0920084865333876,0.7616391424093134,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.6454057605425185e-05,2.778690673975743e-05,1.899917257264606e-05,1.6607563689782645e-05,1.2040307313577299e-05,1.002239869382617e-05,1.5646016986565582e-05,2.6442040947700876e-05,2.5724133919141557e-05,2.6482296050177826e-05,1.7530748606244617e-05,2.2229697920141964e-05,1.0541410284881766e-05,1.4073302740878957e-05,1.934142600717911e-05,1.889122333274442e-05,8.175083079267695e-06
[TG(46:3)]_FA16:0,0.0069813150384548,3.961072455536992,0.0009721743328015008,0.975126220901892,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.130870087774467e-05,1.6495627886247854e-05,1.4075540140601559e-05,1.5742252842258435e-05,1.4083776268408784e-05,1.0103455075292275e-05,1.570572239063924e-05,2.753310717604089e-05,1.9429032648721942e-05,1.5268946905834453e-05,1.5396918342508456e-05,1.8829916836217557e-05,1.1536434106088305e-05,1.0852963800303313e-05,1.833675655566814e-05,2.073789224679973e-05,8.454033622059298e-06
[TG(46:3)]_FA16:1,-0.1624148746566723,5.857843596577717,0.529497539597628,0.4668181808757736,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.00015245877620166372,0.00013656150627405764,5.485200013385018e-05,4.5232856919900384e-05,2.7898747962810662e-05,1.888949676591414e-05,2.173783510646724e-05,4.708511639857443e-05,0.0001231335684762514,8.841077091606172e-05,4.233583555163586e-05,0.00016799868062871397,1.2387819564916465e-05,1.972730875675928e-05,4.942006654822984e-05,3.5271374402652085e-05,9.072463065607398e-06
[TG(46:3)]_FA18:0,-0.0233742782314215,3.78203031341696,0.0108840511007789,0.916910125098408,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.5447278909945784e-05,1.5877194545118836e-05,1.3283688916640312e-05,1.3763215419956401e-05,1.1992514334263273e-05,9.377102818724194e-06,1.269779554673609e-05,2.5202100171516298e-05,1.4595619691545018e-05,1.4437314868329502e-05,1.4777498614501863e-05,1.3227436957721747e-05,1.0848932047248028e-05,9.634713954097119e-06,1.9882933828185887e-05,1.941265907103092e-05,8.09621752178066e-06
[TG(46:3)]_FA18:1,-0.116530956796188,4.054559915971523,0.2709346715170184,0.6027054748726189,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.861833259169611e-05,2.2090914185665702e-05,1.5306724739239056e-05,1.6676171233958183e-05,1.315345553499858e-05,1.025136811398576e-05,1.4375144777827107e-05,2.710024973270679e-05,3.125072472461911e-05,1.6870853877282767e-05,1.7061109443972658e-05,1.4427263076248456e-05,1.4041787803211643e-05,1.0537121223284497e-05,1.9898679716488625e-05,2.0561167933090924e-05,9.773165978455153e-06
[TG(46:3)]_FA18:2,0.2533824820398964,5.177165234263032,1.285858248632792,0.2568126279449619,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,0.00014403796528221775,3.897219609618006e-05,2.848258494835429e-05,6.926717093667038e-05,1.5159499164936753e-05,1.399140178162489e-05,1.52675273124464e-05,2.7453571345468762e-05,4.3076973926691e-05,4.446780843104165e-05,5.5939080923912124e-05,7.501655565759382e-05,1.1979282317707381e-05,1.2310573747794477e-05,2.0687514167798907e-05,2.1397133050742077e-05,9.624522277531378e-06
[TG(46:3)]_FA18:3,-0.0527034273906858,4.25976538368364,0.0554992212770031,0.813756478080833,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,2.5242895426439454e-05,2.184492748701136e-05,1.828916099203488e-05,2.5144610579651555e-05,1.4727844498143075e-05,1.1614930329714141e-05,1.5757698102867602e-05,3.088788111429299e-05,1.8997998767515803e-05,2.7623421582644164e-05,2.5901834994681323e-05,2.1152213579169524e-05,1.2669767779612743e-05,1.1954062377847693e-05,2.4888999409842555e-05,2.2999565305120492e-05,9.564642755271743e-06
[TG(46:4)]_FA14:0,0.0066081762206142,3.788823720635786,0.0008699757236350081,0.9764695267888917,0.9999631530015736,8,8,SampleType_Supernatant60Brain|SleepCondition_Deprived,SampleType_Supernatant60Brain|SleepCondition_Wakingup,TAG,1.543959282281667e-05,1.7280143316572677e-05,1.3275394356054757e-05,1.3757212244846873e-05,1.2028675312232884e-05,9.477683694063668e-06,1.2644753743743953e-05,2.598420106300767e-05,1.4605643619419145e-05,1.657850449825123e-05,1.4780881759993889e-05,1.3163248997434275e-05,1.0127332304229415e-05,9.640784057398985e-06,1.8308720850537473e-05,1.8896386104824863e-05,8.050618234864982e-06
