lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4F-J,G4F-L,G4F-M,G4F-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
CE(17:0),0.0398151008853815,6.072659134566023,0.071533309845698,0.7891172269180915,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030379801513579754,0.0003168984265335867,0.00016848411186047986,0.00047448399355456945,0.0003279514123511366,0.00027113824615934267,0.0002378431529075513,0.00040375766962368054,0.00013323168376965015
CE(17:1),0.0407908274438702,6.0613709267769895,0.0750772763298073,0.7840828318024909,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003058794698962434,0.00031245049297401277,0.00016896093008024468,0.0004628754030964583,0.0003185101852574168,0.0002697424440941435,0.00023810469548185044,0.0004047509478275239,0.00013177756455579263
CE(18:1),0.097296854012613,6.119257977635177,0.4272246958327699,0.5133538993399611,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003204284236375056,0.00032488344256170054,0.00018852160835257812,0.00047546218408004326,0.0003285132745002213,0.0002681400464031014,0.0002418367423999235,0.00041820336337404935,0.00013909823427102065
CE(18:2),0.0512762172818285,6.075664048144724,0.1186438614498435,0.7305100107744902,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003255430222345368,0.0003160620017834652,0.00016163005432950607,0.0004763701168611863,0.00032224447632222034,0.00027332342775379713,0.00023887012574083115,0.0004036431203552943,0.00013292373430923217
CE(18:3),0.0328533845912526,6.048887375087839,0.0486983187855596,0.8253439757978998,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00031730093567589995,0.000304101610428274,0.00015989611304133294,0.00046354194061046,0.00031448024223448514,0.0002644295564509702,0.0002358221201443709,0.0004117650954245154,0.0001310384867294504
CE(20:0),0.06906769802518,6.5661038927638335,0.2157845422818951,0.6422708300288116,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0004548443900890388,0.00048465344577035805,0.00023968133856621665,0.0005660196336014389,0.0004761600482809187,0.0003850863044237046,0.0002849843482161413,0.0005890771461973638,0.00019931099359855165
CE(20:1),0.0189599625271497,6.041458119148565,0.0162189951653145,0.8986603657878254,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030225785578042147,0.00030335615343421993,0.0001600951285977124,0.00047255102888839323,0.00031752876751367027,0.00026595383851660937,0.00023763007433186926,0.0004056406629360594,0.00012800757023297046
CE(20:3),-0.0100988871641978,6.04008915299923,0.0046014577517894,0.9459177416456184,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030312109958708787,0.00030822466220283023,0.00015204406088721223,0.00046835363315628616,0.00031435143187074407,0.00026737944657273706,0.0002430676493685905,0.00041345194812076973,0.00012765655769491165
CE(20:4),0.0342683767455008,6.049173589345707,0.0529832515265074,0.8179511948943099,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.0003079479518980688,0.00030666758773674376,0.0001649952184093418,0.0004584636331964735,0.0003142888681740009,0.00026250647376726785,0.00023557337919343735,0.0004139870316454176,0.00013164487061176016
CE(20:5),0.0043979956423008,6.039396764887459,0.0008726757789067063,0.9764330511111564,0.9999331386889712,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,CE,0.00030581342813149233,0.00031233471478520465,0.0001523627188085789,0.00046360679420365833,0.00032087417248573123,0.00026721293867845307,0.00023897986565254566,0.00040174286827291056,0.0001286525105218084
