lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4M-P,N4M-Q,N4M-R,N4M-S,N4F-J,N4F-L,N4F-M,N4F-N,Blank1
DG(37:3)_C16:0,0.0758698557926506,4.595614416694679,0.1908266495592681,0.6622294930706688,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.300492659259989e-05,2.1854266947587104e-05,3.9873004710352425e-05,2.9400689181414546e-05,1.6913863808597553e-05,2.0304169417705648e-05,2.5211818730975956e-05,1.8060775139730258e-05,1.598683289648914e-05
DG(37:3)_C16:1,0.0187390119059711,4.676989777996571,0.01165387728259,0.914032875343092,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.0523777971872976e-05,2.4152114072795628e-05,4.24853644599716e-05,3.069772136586733e-05,1.9242264213203047e-05,2.1385002242043214e-05,2.583463234933816e-05,1.9758817700977173e-05,1.722807315014042e-05
DG(37:3)_C18:0,0.0145961890695103,4.698249481047046,0.0070737489053644,0.9329724866635248,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.827243388816136e-05,3.0310253626116937e-05,3.929149365379561e-05,2.9857674556402786e-05,1.9534098912608318e-05,2.2660925464251925e-05,2.5782547528925558e-05,2.045422965236003e-05,1.6164686027611983e-05
DG(37:3)_C18:1,0.0567627101975118,4.817417590529438,0.1071380222386082,0.7434262831171135,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.100074704074805e-05,2.7498999618694274e-05,5.0294035060559555e-05,3.786772387087062e-05,2.1546123335560596e-05,2.4218696668173726e-05,2.9274436562861837e-05,2.0970193724188232e-05,1.5970767627858255e-05
DG(37:3)_C18:2,-0.0330414987006902,4.965239377523633,0.0363534837853301,0.8487873597494282,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,5.208759305630357e-05,2.722007164039716e-05,5.115831144848309e-05,3.75947486807884e-05,2.3746679634665582e-05,2.8304240391531922e-05,3.273794056180057e-05,2.366801802163462e-05,1.9628929704780967e-05
DG(37:4)_C16:1,0.0832104900044982,4.735631557976256,0.2299838130094614,0.6315358311586442,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.374435291960802e-05,2.5257337808415788e-05,4.570853300760487e-05,3.4551377711732945e-05,1.8950049016424982e-05,2.2796739415893534e-05,2.9097237875400688e-05,1.9083954598927717e-05,1.5861556535444905e-05
DG(37:4)_C18:0,-0.0821601087673672,4.927499618362215,0.2247558382973764,0.6354398579218735,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,5.111050928360501e-05,2.83979616569655e-05,4.34939087272305e-05,4.013089073790434e-05,2.5171990316962732e-05,2.807803565106693e-05,3.050104821249505e-05,2.5884465986505365e-05,1.4797358143886717e-05
DG(37:4)_C18:2,0.0327479555723327,4.976703898367502,0.0357186810511942,0.8500976250728424,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,5.010366631934819e-05,3.1229941968744205e-05,5.302669205644531e-05,3.855384250268049e-05,2.2319466429218258e-05,2.5573882472804386e-05,3.070139551045739e-05,2.847730723462782e-05,1.8564731282271307e-05
DG(37:5)_C16:1,-0.0221231893450389,4.817758160325956,0.016271922858067,0.8984960423455882,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.626642018237074e-05,2.5793718451401594e-05,5.008051849754224e-05,3.0413865439368483e-05,2.2122563719722858e-05,2.3644326778924154e-05,3.149451839267213e-05,2.040621418076724e-05,1.7977620735537567e-05
DG(37:5)_C18:0,0.0010062455552876,4.671551569631361,3.3586092413884217e-05,0.9953760048513594,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.7335028380589024e-05,2.261488889161811e-05,3.8827616712648505e-05,3.3483157965350515e-05,2.1259044708170286e-05,1.9589670366166903e-05,2.5034068973726807e-05,1.8008690652457687e-05,2.030269533498121e-05
DG(37:5)_C18:1,0.0880785941985687,4.815146212042477,0.2579441183189461,0.6115361040272299,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.602586920712079e-05,2.9624795041571812e-05,4.835951281136006e-05,3.4340165807862496e-05,1.8357247571808808e-05,2.7500031950377613e-05,3.097945689438644e-05,1.931040103570875e-05,1.5544309210306887e-05
DG(37:5)_C18:2,0.0219742000072815,4.884894919614338,0.0160672462971369,0.8991330134968256,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.6109359407339836e-05,2.8230904492739674e-05,4.685601855381548e-05,3.957373959607346e-05,2.4814901406710833e-05,2.4208703578418297e-05,2.941828948341187e-05,2.2122160643841914e-05,1.7648689570226682e-05
DG(37:6)_C18:0,-0.0955408735975122,4.822788817084697,0.3034817103704625,0.5817078893884811,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.6628667786941564e-05,2.606740236472891e-05,4.047937422315361e-05,4.2715355509048314e-05,3.0589007532191086e-05,2.0772022965461378e-05,2.5812585563035373e-05,2.154719438942737e-05,1.6732485703420817e-05
DG(37:6)_C18:1,0.0762518147846424,4.878561952384226,0.1934691373562778,0.6600448334343869,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.201751002458293e-05,3.2128903768871835e-05,5.173627061966517e-05,3.7938767706211334e-05,2.1444722999171982e-05,2.7945173895065002e-05,2.861249057687401e-05,2.1825115242473383e-05,1.5948860423665202e-05
DG(37:6)_C18:2,0.0305110868594839,4.866826105143599,0.0309706073393227,0.8603059787639789,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,5.108199015361964e-05,2.830556841746653e-05,4.685557472689515e-05,3.437184788032437e-05,2.1890275226278964e-05,2.454346890131904e-05,3.0907805942723956e-05,2.251584768030154e-05,1.7289250777131185e-05
"DG(37:7),DG(36:0)_C16:0",-0.1521042972580081,4.700999304858562,0.7679201294862636,0.3808612469310308,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.033613142895884e-05,2.391164157074052e-05,4.21266922791108e-05,2.830078699633879e-05,2.319687337716029e-05,2.0473823005543224e-05,2.5978485742954588e-05,2.3912368515467905e-05,1.5139920213612743e-05
"DG(37:7),DG(36:0)_C18:1",0.1046751314740059,5.111687203086457,0.3652891534125801,0.54558334814422,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.981145026382774e-05,3.430164510652356e-05,6.352007965679364e-05,4.5483831014445494e-05,2.600297785544236e-05,3.115224316138388e-05,2.883157740140423e-05,2.7055965073962762e-05,2.1640326829000146e-05
